Manufacturer,Series,Part_Number,Inductance_uH,DCR_typ_mOhm,DCR_max_mOhm,Isat_10pct_A,Isat_20pct_A,Isat_30pct_A,Itemp_40K,Length_max_mm,Width_max_mm,Height_max_mm,Size_Code,Volume,Rp_Ohm,Rs_spice_Ohm,ls1,lsb11,rlsb11,lsc11,rlsc11,rls11,cpb11,rcpb11,cp11,rcp11,rp1,rs1,cp1,rcp1,cpb1,rcpb1,lwira1,lwa1,rwa1,lwb1,rwb1,lwc1,rwc1,ka1,lsd11,rlsd11
Wurth Elektronik,HCF,74436411000,10.0,,1.44,20.0,,21.5,,27.0,28.0,15.4,2815,11642.4,1230.0,0.00133,,,,,,,,,,,,,,,,,,,,,,,,,,
Wurth Elektronik,HCF,74436411500,15.0,,1.44,13.0,,14.3,,27.0,28.0,15.4,2815,11642.4,1294.0,0.00133,,,,,,,,,,,,,,,,,,,,,,,,,,
Wurth Elektronik,HCF,74436412200,22.0,,1.44,7.5,,9.5,,27.0,28.0,15.4,2815,11642.4,1395.0,0.00133,,,,,,,,,,,,,,,,,,,,,,,,,,
Wurth Elektronik,HCF,74436413300,33.0,,1.44,4.5,,6.0,,27.0,28.0,15.4,2815,11642.4,1543.0,0.00133,,,,,,,,,,,,,,,,,,,,,,,,,,
Wurth Elektronik,HCF,7443640100B,1.0,,0.48,122.0,,125.0,,27.0,28.0,18.5,2818B,13986.0,389.52,0.00044,,,,,,,,,,,,,,,,,,,,,,,,,,
Wurth Elektronik,HCF,7443640150B,1.5,,0.48,85.0,,91.8,,27.0,28.0,18.5,2818B,13986.0,422.7,0.00044,,,,,,,,,,,,,,,,,,,,,,,,,,
Wurth Elektronik,HCF,7443640330B,3.3,,0.97,61.35,,70.0,,27.0,28.0,18.5,2818B,13986.0,1113.0,0.00044,,,,,,,,,,,,,,,,,,,,,,,,,,
Wurth Elektronik,HCF,7443640470B,4.7,,0.97,43.85,,49.5,,27.0,28.0,18.5,2818B,13986.0,1213.0,0.00044,,,,,,,,,,,,,,,,,,,,,,,,,,
Wurth Elektronik,HCF,7443640680B,6.8,,0.97,31.9,,36.3,,27.0,28.0,18.5,2818B,13986.0,1121.0,0.00044,,,,,,,,,,,,,,,,,,,,,,,,,,
Wurth Elektronik,HCF,7443641000B,10.0,,0.97,22.9,,25.1,,27.0,28.0,18.5,2818B,13986.0,1140.0,0.00044,,,,,,,,,,,,,,,,,,,,,,,,,,
Wurth Elektronik,HCF,7443640330,3.3,,2.64,89.8,,100.0,,27.0,28.0,18.5,2818,13986.0,1120.0,0.0024,,,,,,,,,,,,,,,,,,,,,,,,,,
Wurth Elektronik,HCF,7443640470,4.7,,2.64,70.0,,78.0,,27.0,28.0,18.5,2818,13986.0,1190.0,0.0024,,,,,,,,,,,,,,,,,,,,,,,,,,
Wurth Elektronik,HCF,7443640680,6.8,,2.64,49.8,,55.0,,27.0,28.0,18.5,2818,13986.0,1230.0,0.0024,,,,,,,,,,,,,,,,,,,,,,,,,,
Wurth Elektronik,HCF,7443641000,10.0,,2.64,32.6,,37.0,,27.0,28.0,18.5,2818,13986.0,1310.0,0.0024,,,,,,,,,,,,,,,,,,,,,,,,,,
Wurth Elektronik,HCF,7443641500,15.0,,2.64,22.0,,26.0,,27.0,28.0,18.5,2818,13986.0,1330.0,0.0024,,,,,,,,,,,,,,,,,,,,,,,,,,
Wurth Elektronik,HCF,7443642200,22.0,,2.64,15.5,,18.0,,27.0,28.0,18.5,2818,13986.0,1440.0,0.0024,,,,,,,,,,,,,,,,,,,,,,,,,,
Wurth Elektronik,HCF,7443643300,33.0,,2.64,10.5,,11.5,,27.0,28.0,18.5,2818,13986.0,1470.0,0.0024,,,,,,,,,,,,,,,,,,,,,,,,,,
Wurth Elektronik,HCF,74437429203330,33.0,,16.83,7.0,,16.3,,25.0,28.0,20.5,2920 litz wire,14350.0,6230.0,0.0153,,,,,,,,,,,,,,,,,,,,,,,,,,
Wurth Elektronik,HCF,74437429203470,47.0,,21.23,7.6,,13.5,,25.0,28.0,20.5,2920 litz wire,14350.0,9270.0,0.0193,,,,,,,,,,,,,,,,,,,,,,,,,,
Wurth Elektronik,HCF,74437429203680,68.0,,24.42,6.4,,10.7,,25.0,28.0,20.5,2920 litz wire,14350.0,10735.0,0.0222,,,,,,,,,,,,,,,,,,,,,,,,,,
Wurth Elektronik,HCF,74437429203101,100.0,,39.49,7.5,,9.7,,25.0,28.0,20.5,2920 litz wire,14350.0,18328.0,0.0359,,,,,,,,,,,,,,,,,,,,,,,,,,
Wurth Elektronik,HCF,74437429203151,150.0,,42.74,6.0,,7.8,,25.0,28.0,20.5,2920 litz wire,14350.0,23820.0,0.03885,,,,,,,,,,,,,,,,,,,,,,,,,,
Wurth Elektronik,HCF,74437529203220,22.0,,5.39,7.5,,21.7,,25.0,28.0,20.5,2920 round wire,14350.0,4184.0,0.0049,,,,,,,,,,,,,,,,,,,,,,,,,,
Wurth Elektronik,HCF,74437529203330,33.0,,7.59,6.0,,15.4,,25.0,28.0,20.5,2920 round wire,14350.0,5743.0,0.0069,,,,,,,,,,,,,,,,,,,,,,,,,,
