ProID,Info,,time,Value,
,,,1.372E-4,4.22,
,,,1.379E-4,4.18,
,,,1.386E-4,4.18,
,,,1.393E-4,4.18,
,,,1.4E-4,4.18,
,,,1.407E-4,4.18,
,,,1.414E-4,4.18,
,,,1.4209999E-4,4.2999997,
,,,1.428E-4,4.38,
,,,1.435E-4,4.2599998,
,,,1.4419999E-4,4.22,
,,,1.449E-4,4.22,
,,,1.456E-4,4.22,
,,,1.463E-4,4.22,
,,,1.47E-4,4.18,
,,,1.477E-4,4.18,
,,,1.484E-4,4.18,
,,,1.491E-4,4.18,
,,,1.4979999E-4,4.22,
,,,1.505E-4,4.14,
,,,1.512E-4,4.2599998,
,,,1.5189999E-4,4.22,
,,,1.526E-4,4.22,
,,,1.533E-4,4.22,
,,,1.54E-4,4.22,
,,,1.547E-4,4.22,
,,,1.5539999E-4,4.22,
,,,1.561E-4,4.22,
,,,1.568E-4,4.22,
,,,1.5749999E-4,4.18,
,,,1.582E-4,4.18,
,,,1.589E-4,4.2999997,
,,,1.596E-4,4.1,
,,,1.603E-4,4.22,
,,,1.61E-4,4.14,
,,,1.617E-4,4.22,
,,,1.624E-4,4.22,
,,,1.6309999E-4,4.22,
,,,1.638E-4,4.22,
,,,1.645E-4,4.22,
,,,1.6519999E-4,4.22,
,,,1.659E-4,4.18,
,,,1.666E-4,4.18,
,,,1.673E-4,4.14,
,,,1.68E-4,4.22,
,,,1.687E-4,4.22,
,,,1.694E-4,4.22,
,,,1.701E-4,4.18,
,,,1.7079999E-4,4.22,
,,,1.715E-4,4.22,
,,,1.722E-4,4.18,
,,,1.7289999E-4,4.22,
,,,1.736E-4,4.22,
,,,1.743E-4,4.22,
,,,1.75E-4,4.06,
,,,1.757E-4,4.14,
,,,1.7639999E-4,4.22,
,,,1.771E-4,4.18,
,,,1.778E-4,4.18,
,,,1.7849999E-4,4.18,
,,,1.792E-4,4.18,
,,,1.799E-4,4.18,
,,,1.806E-4,4.22,
,,,1.813E-4,4.22,
,,,1.82E-4,4.22,
,,,1.827E-4,4.22,
,,,1.834E-4,4.22,
,,,1.8409999E-4,4.22,
,,,1.848E-4,4.22,
,,,1.855E-4,4.22,
,,,1.8619999E-4,4.18,
,,,1.869E-4,4.22,
,,,1.876E-4,4.18,
,,,1.883E-4,4.18,
,,,1.89E-4,4.2599998,
,,,1.8969999E-4,4.22,
,,,1.904E-4,4.22,
,,,1.911E-4,4.42,
,,,1.9179999E-4,4.2599998,
,,,1.925E-4,4.18,
,,,1.932E-4,4.22,
,,,1.9389999E-4,4.22,
,,,1.946E-4,4.22,
,,,1.953E-4,4.22,
,,,1.96E-4,4.22,
,,,1.967E-4,4.22,
,,,1.9739999E-4,4.18,
,,,1.981E-4,4.18,
,,,1.988E-4,4.22,
,,,1.9949999E-4,4.18,
,,,2.002E-4,4.22,
