run,t_ms,n,flags,pwm_pct,fan1_rpm,fan2_rpm,fan3_rpm,fan4_rpm,in_V,in_uV,in_A,fan12_V,fan12_uV,fan12_A,b5in_V,b5in_uV,b5in_A,b5out_V,b5out_uV,b5out_A,fan1_V,fan1_uV,fan1_A,fan2_V,fan2_uV,fan2_A,fan3_V,fan3_uV,fan3_A,fan4_V,fan4_uV,fan4_A,fan5_V,fan5_uV,fan5_A,fan6_V,fan6_uV,fan6_A,fan7_V,fan7_uV,fan7_A,fan8_V,fan8_uV,fan8_A,fan9_V,fan9_uV,fan9_A,fan10_V,fan10_uV,fan10_A,pc_time_s
7,573206,1,0,0.00,0.0,0.0,0.0,0.0,9.1350,140.0,0.14000,12.0787,60.0,0.06000,12.0787,1185.0,0.03591,5.0812,695.0,0.06950,12.0800,227.5,0.02275,12.0787,292.5,0.02925,12.0813,52.5,0.00525,12.0800,-5.0,-0.00050,12.0813,-7.5,-0.00075,12.0787,-7.5,-0.00075,12.0787,-5.0,-0.00050,12.0800,-5.0,-0.00050,12.0800,-5.0,-0.00050,12.0813,-7.5,-0.00075,0.68
7,573554,1,0,0.01,0.0,0.0,0.0,0.0,9.1350,140.0,0.14000,12.0787,60.0,0.06000,12.0787,1187.5,0.03598,5.0812,695.0,0.06950,12.0800,227.5,0.02275,12.0787,292.5,0.02925,12.0813,52.5,0.00525,12.0800,-5.0,-0.00050,12.0813,-7.5,-0.00075,12.0787,-7.5,-0.00075,12.0787,-5.0,-0.00050,12.0787,-5.0,-0.00050,12.0800,-5.0,-0.00050,12.0813,-7.5,-0.00075,1.03
7,573890,1,0,0.29,0.0,0.0,0.0,0.0,9.1350,140.0,0.14000,12.0787,57.5,0.05750,12.0787,1190.0,0.03606,5.0812,695.0,0.06950,12.0800,227.5,0.02275,12.0787,290.0,0.02900,12.0813,52.5,0.00525,12.0800,-5.0,-0.00050,12.0813,-7.5,-0.00075,12.0787,-7.5,-0.00075,12.0800,-5.0,-0.00050,12.0800,-5.0,-0.00050,12.0800,-5.0,-0.00050,12.0813,-7.5,-0.00075,1.36
7,574226,1,0,0.57,0.0,0.0,0.0,0.0,9.1350,140.0,0.14000,12.0787,60.0,0.06000,12.0787,1185.0,0.03591,5.0812,695.0,0.06950,12.0800,227.5,0.02275,12.0787,290.0,0.02900,12.0813,52.5,0.00525,12.0813,-5.0,-0.00050,12.0813,-7.5,-0.00075,12.0787,-7.5,-0.00075,12.0800,-5.0,-0.00050,12.0800,-5.0,-0.00050,12.0800,-5.0,-0.00050,12.0813,-7.5,-0.00075,1.71
7,574582,1,0,0.87,0.0,0.0,0.0,0.0,9.1350,140.0,0.14000,12.0787,60.0,0.06000,12.0787,1187.5,0.03598,5.0812,695.0,0.06950,12.0800,225.0,0.02250,12.0787,290.0,0.02900,12.0813,52.5,0.00525,12.0813,-5.0,-0.00050,12.0813,-7.5,-0.00075,12.0787,-7.5,-0.00075,12.0800,-5.0,-0.00050,12.0800,-5.0,-0.00050,12.0800,-5.0,-0.00050,12.0813,-7.5,-0.00075,2.06
7,574919,1,0,1.15,0.0,0.0,0.0,0.0,9.1350,140.0,0.14000,12.0787,57.5,0.05750,12.0787,1187.5,0.03598,5.0812,695.0,0.06950,12.0800,225.0,0.02250,12.0787,290.0,0.02900,12.0813,52.5,0.00525,12.0813,-5.0,-0.00050,12.0813,-7.5,-0.00075,12.0787,-7.5,-0.00075,12.0800,-5.0,-0.00050,12.0800,-5.0,-0.00050,12.0800,-5.0,-0.00050,12.0813,-7.5,-0.00075,2.39
7,575255,1,0,1.43,0.0,0.0,0.0,0.0,9.1350,140.0,0.14000,12.0787,60.0,0.06000,12.0787,1182.5,0.03583,5.0812,695.0,0.06950,12.0800,225.0,0.02250,12.0787,290.0,0.02900,12.0813,52.5,0.00525,12.0800,-5.0,-0.00050,12.0813,-7.5,-0.00075,12.0775,-7.5,-0.00075,12.0787,-5.0,-0.00050,12.0800,-5.0,-0.00050,12.0800,-5.0,-0.00050,12.0800,-7.5,-0.00075,2.73
7,575590,1,0,1.71,0.0,0.0,0.0,0.0,9.1350,140.0,0.14000,12.0787,57.5,0.05750,12.0800,1185.0,0.03591,5.0812,695.0,0.06950,12.0813,225.0,0.02250,12.0787,290.0,0.02900,12.0813,52.5,0.00525,12.0813,-5.0,-0.00050,12.0813,-7.5,-0.00075,12.0787,-7.5,-0.00075,12.0800,-5.0,-0.00050,12.0800,-5.0,-0.00050,12.0800,-5.0,-0.00050,12.0813,-7.5,-0.00075,3.07
7,575925,1,0,1.98,0.0,0.0,0.0,0.0,9.1350,140.0,0.14000,12.0787,60.0,0.06000,12.0787,1185.0,0.03591,5.0812,695.0,0.06950,12.0813,225.0,0.02250,12.0787,290.0,0.02900,12.0813,52.5,0.00525,12.0813,-5.0,-0.00050,12.0813,-7.5,-0.00075,12.0787,-7.5,-0.00075,12.0800,-5.0,-0.00050,12.0800,-5.0,-0.00050,12.0800,-5.0,-0.00050,12.0813,-7.5,-0.00075,3.40
7,576261,1,0,2.26,0.0,0.0,0.0,0.0,9.1350,140.0,0.14000,12.0787,57.5,0.05750,12.0800,1187.5,0.03598,5.0812,695.0,0.06950,12.0813,225.0,0.02250,12.0787,290.0,0.02900,12.0813,52.5,0.00525,12.0813,-5.0,-0.00050,12.0825,-7.5,-0.00075,12.0787,-7.5,-0.00075,12.0800,-5.0,-0.00050,12.0800,-5.0,-0.00050,12.0800,-5.0,-0.00050,12.0813,-7.5,-0.00075,3.76
7,576618,1,0,2.56,0.0,0.0,0.0,0.0,9.1350,140.0,0.14000,12.0787,57.5,0.05750,12.0800,1187.5,0.03598,5.0812,695.0,0.06950,12.0813,225.0,0.02250,12.0787,290.0,0.02900,12.0813,52.5,0.00525,12.0813,-5.0,-0.00050,12.0813,-7.5,-0.00075,12.0787,-7.5,-0.00075,12.0800,-5.0,-0.00050,12.0800,-5.0,-0.00050,12.0800,-5.0,-0.00050,12.0813,-7.5,-0.00075,4.09
7,576954,1,0,2.84,0.0,0.0,0.0,0.0,9.1362,140.0,0.14000,12.0787,60.0,0.06000,12.0787,1187.5,0.03598,5.0812,695.0,0.06950,12.0800,225.0,0.02250,12.0787,290.0,0.02900,12.0813,52.5,0.00525,12.0813,-5.0,-0.00050,12.0813,-7.5,-0.00075,12.0787,-7.5,-0.00075,12.0800,-5.0,-0.00050,12.0800,-5.0,-0.00050,12.0800,-5.0,-0.00050,12.0813,-7.5,-0.00075,4.43
7,577290,1,0,3.12,0.0,0.0,0.0,0.0,9.1350,140.0,0.14000,12.0787,60.0,0.06000,12.0800,1185.0,0.03591,5.0812,695.0,0.06950,12.0813,225.0,0.02250,12.0787,290.0,0.02900,12.0813,52.5,0.00525,12.0813,-5.0,-0.00050,12.0813,-7.5,-0.00075,12.0787,-7.5,-0.00075,12.0800,-5.0,-0.00050,12.0800,-5.0,-0.00050,12.0800,-5.0,-0.00050,12.0813,-7.5,-0.00075,4.79
7,577626,1,0,3.40,0.0,0.0,0.0,0.0,9.1350,140.0,0.14000,12.0787,57.5,0.05750,12.0800,1187.5,0.03598,5.0812,695.0,0.06950,12.0813,225.0,0.02250,12.0787,290.0,0.02900,12.0813,52.5,0.00525,12.0813,-5.0,-0.00050,12.0825,-7.5,-0.00075,12.0787,-7.5,-0.00075,12.0800,-5.0,-0.00050,12.0800,-5.0,-0.00050,12.0800,-5.0,-0.00050,12.0813,-7.5,-0.00075,5.10
7,577962,1,0,3.68,0.0,0.0,0.0,0.0,9.1362,140.0,0.14000,12.0787,60.0,0.06000,12.0787,1187.5,0.03598,5.0812,695.0,0.06950,12.0800,225.0,0.02250,12.0787,290.0,0.02900,12.0813,52.5,0.00525,12.0813,-5.0,-0.00050,12.0813,-7.5,-0.00075,12.0787,-7.5,-0.00075,12.0800,-5.0,-0.00050,12.0800,-5.0,-0.00050,12.0800,-5.0,-0.00050,12.0813,-7.5,-0.00075,5.44
