run,t_ms,n,flags,pwm_pct,fan1_rpm,fan2_rpm,fan3_rpm,fan4_rpm,in_V,in_uV,in_A,fan12_V,fan12_uV,fan12_A,b5in_V,b5in_uV,b5in_A,b5out_V,b5out_uV,b5out_A,fan1_V,fan1_uV,fan1_A,fan2_V,fan2_uV,fan2_A,fan3_V,fan3_uV,fan3_A,fan4_V,fan4_uV,fan4_A,fan5_V,fan5_uV,fan5_A,fan6_V,fan6_uV,fan6_A,fan7_V,fan7_uV,fan7_A,fan8_V,fan8_uV,fan8_A,fan9_V,fan9_uV,fan9_A,fan10_V,fan10_uV,fan10_A,pc_time_s
6,100254,1,0,0.00,0.0,0.0,0.0,0.0,15.0387,85.0,0.08500,12.0538,60.0,0.06000,12.0550,1187.5,0.03598,5.0812,695.0,0.06950,12.0562,227.5,0.02275,12.0538,292.5,0.02925,12.0562,52.5,0.00525,12.0562,-5.0,-0.00050,12.0575,-7.5,-0.00075,12.0538,-7.5,-0.00075,12.0550,-5.0,-0.00050,12.0550,-5.0,-0.00050,12.0550,-5.0,-0.00050,12.0562,-7.5,-0.00075,0.54
6,100601,1,0,0.01,0.0,0.0,0.0,0.0,15.0375,85.0,0.08500,12.0538,60.0,0.06000,12.0550,1187.5,0.03598,5.0812,695.0,0.06950,12.0562,227.5,0.02275,12.0538,292.5,0.02925,12.0562,52.5,0.00525,12.0562,-5.0,-0.00050,12.0575,-7.5,-0.00075,12.0538,-7.5,-0.00075,12.0550,-5.0,-0.00050,12.0550,-5.0,-0.00050,12.0550,-5.0,-0.00050,12.0562,-7.5,-0.00075,0.88
6,100938,1,0,0.29,0.0,0.0,0.0,0.0,15.0375,85.0,0.08500,12.0538,57.5,0.05750,12.0550,1187.5,0.03598,5.0812,695.0,0.06950,12.0562,225.0,0.02250,12.0538,290.0,0.02900,12.0562,52.5,0.00525,12.0562,-5.0,-0.00050,12.0575,-7.5,-0.00075,12.0538,-7.5,-0.00075,12.0550,-5.0,-0.00050,12.0550,-5.0,-0.00050,12.0550,-5.0,-0.00050,12.0562,-7.5,-0.00075,1.22
6,101274,1,0,0.57,0.0,0.0,0.0,0.0,15.0363,85.0,0.08500,12.0538,57.5,0.05750,12.0550,1187.5,0.03598,5.0812,695.0,0.06950,12.0562,225.0,0.02250,12.0538,290.0,0.02900,12.0562,52.5,0.00525,12.0562,-5.0,-0.00050,12.0575,-7.5,-0.00075,12.0538,-7.5,-0.00075,12.0550,-5.0,-0.00050,12.0550,-5.0,-0.00050,12.0550,-5.0,-0.00050,12.0562,-7.5,-0.00075,1.56
6,101609,1,0,0.85,0.0,0.0,0.0,0.0,15.0375,85.0,0.08500,12.0538,57.5,0.05750,12.0550,1185.0,0.03591,5.0812,695.0,0.06950,12.0562,225.0,0.02250,12.0538,290.0,0.02900,12.0562,52.5,0.00525,12.0562,-5.0,-0.00050,12.0575,-7.5,-0.00075,12.0538,-7.5,-0.00075,12.0550,-5.0,-0.00050,12.0550,-5.0,-0.00050,12.0550,-5.0,-0.00050,12.0562,-7.5,-0.00075,1.90
6,101965,1,0,1.15,0.0,0.0,0.0,0.0,15.0387,85.0,0.08500,12.0538,57.5,0.05750,12.0550,1190.0,0.03606,5.0812,695.0,0.06950,12.0562,225.0,0.02250,12.0538,290.0,0.02900,12.0562,52.5,0.00525,12.0562,-5.0,-0.00050,12.0575,-7.5,-0.00075,12.0538,-7.5,-0.00075,12.0550,-5.0,-0.00050,12.0550,-5.0,-0.00050,12.0550,-5.0,-0.00050,12.0562,-7.5,-0.00075,2.26
6,102302,1,0,1.43,0.0,0.0,0.0,0.0,15.0387,85.0,0.08500,12.0538,57.5,0.05750,12.0550,1192.5,0.03614,5.0812,695.0,0.06950,12.0562,225.0,0.02250,12.0538,290.0,0.02900,12.0562,52.5,0.00525,12.0562,-5.0,-0.00050,12.0575,-7.5,-0.00075,12.0538,-7.5,-0.00075,12.0550,-5.0,-0.00050,12.0550,-5.0,-0.00050,12.0550,-5.0,-0.00050,12.0562,-7.5,-0.00075,2.60
6,102638,1,0,1.71,0.0,0.0,0.0,0.0,15.0387,85.0,0.08500,12.0538,57.5,0.05750,12.0550,1187.5,0.03598,5.0812,695.0,0.06950,12.0562,225.0,0.02250,12.0538,290.0,0.02900,12.0562,52.5,0.00525,12.0562,-5.0,-0.00050,12.0575,-7.5,-0.00075,12.0538,-7.5,-0.00075,12.0550,-5.0,-0.00050,12.0550,-5.0,-0.00050,12.0550,-5.0,-0.00050,12.0562,-7.5,-0.00075,2.93
6,102973,1,0,1.99,0.0,0.0,0.0,0.0,15.0375,85.0,0.08500,12.0538,60.0,0.06000,12.0550,1187.5,0.03598,5.0812,695.0,0.06950,12.0562,225.0,0.02250,12.0538,290.0,0.02900,12.0562,52.5,0.00525,12.0562,-5.0,-0.00050,12.0575,-7.5,-0.00075,12.0538,-10.0,-0.00100,12.0550,-5.0,-0.00050,12.0550,-5.0,-0.00050,12.0550,-5.0,-0.00050,12.0562,-7.5,-0.00075,3.26
6,103308,1,0,2.26,0.0,0.0,0.0,0.0,15.0363,85.0,0.08500,12.0538,57.5,0.05750,12.0550,1185.0,0.03591,5.0812,695.0,0.06950,12.0562,225.0,0.02250,12.0538,290.0,0.02900,12.0562,52.5,0.00525,12.0562,-5.0,-0.00050,12.0575,-7.5,-0.00075,12.0538,-7.5,-0.00075,12.0550,-5.0,-0.00050,12.0550,-5.0,-0.00050,12.0550,-5.0,-0.00050,12.0562,-7.5,-0.00075,3.59
6,103644,1,0,2.54,0.0,0.0,0.0,0.0,15.0375,85.0,0.08500,12.0538,57.5,0.05750,12.0550,1190.0,0.03606,5.0812,695.0,0.06950,12.0562,225.0,0.02250,12.0538,290.0,0.02900,12.0562,52.5,0.00525,12.0562,-5.0,-0.00050,12.0575,-7.5,-0.00075,12.0538,-7.5,-0.00075,12.0550,-5.0,-0.00050,12.0550,-5.0,-0.00050,12.0550,-5.0,-0.00050,12.0562,-7.5,-0.00075,3.95
6,104001,1,0,2.84,0.0,0.0,0.0,0.0,15.0387,85.0,0.08500,12.0538,57.5,0.05750,12.0550,1190.0,0.03606,5.0812,695.0,0.06950,12.0562,225.0,0.02250,12.0538,290.0,0.02900,12.0562,52.5,0.00525,12.0562,-5.0,-0.00050,12.0575,-7.5,-0.00075,12.0538,-7.5,-0.00075,12.0550,-5.0,-0.00050,12.0550,-5.0,-0.00050,12.0550,-5.0,-0.00050,12.0562,-7.5,-0.00075,4.29
6,104337,1,0,3.12,0.0,0.0,0.0,0.0,15.0387,85.0,0.08500,12.0538,57.5,0.05750,12.0538,1190.0,0.03606,5.0812,695.0,0.06950,12.0562,225.0,0.02250,12.0538,290.0,0.02900,12.0562,52.5,0.00525,12.0562,-5.0,-0.00050,12.0575,-7.5,-0.00075,12.0538,-7.5,-0.00075,12.0550,-5.0,-0.00050,12.0550,-5.0,-0.00050,12.0550,-5.0,-0.00050,12.0562,-7.5,-0.00075,4.63
6,104673,1,0,3.40,0.0,0.0,0.0,0.0,15.0387,85.0,0.08500,12.0538,57.5,0.05750,12.0550,1187.5,0.03598,5.0812,695.0,0.06950,12.0562,225.0,0.02250,12.0538,290.0,0.02900,12.0562,52.5,0.00525,12.0562,-5.0,-0.00050,12.0575,-7.5,-0.00075,12.0538,-7.5,-0.00075,12.0550,-5.0,-0.00050,12.0550,-5.0,-0.00050,12.0550,-5.0,-0.00050,12.0562,-7.5,-0.00075,4.95
6,105009,1,0,3.68,0.0,0.0,0.0,0.0,15.0387,85.0,0.08500,12.0538,60.0,0.06000,12.0550,1190.0,0.03606,5.0812,695.0,0.06950,12.0562,225.0,0.02250,12.0538,290.0,0.02900,12.0562,52.5,0.00525,12.0562,-5.0,-0.00050,12.0575,-7.5,-0.00075,12.0538,-7.5,-0.00075,12.0550,-5.0,-0.00050,12.0550,-5.0,-0.00050,12.0550,-5.0,-0.00050,12.0562,-7.5,-0.00075,5.29
6,105345,1,0,3.96,0.0,0.0,0.0,0.0,15.0387,85.0,0.08500,12.0538,57.5,0.05750,12.0550,1192.5,0.03614,5.0812,695.0,0.06950,12.0562,225.0,0.02250,12.0538,290.0,0.02900,12.0562,52.5,0.00525,12.0562,-5.0,-0.00050,12.0575,-7.5,-0.00075,12.0538,-7.5,-0.00075,12.0550,-5.0,-0.00050,12.0550,-5.0,-0.00050,12.0550,-5.0,-0.00050,12.0562,-7.5,-0.00075,5.63
6,105680,1,0,4.24,0.0,0.0,0.0,0.0,15.0387,85.0,0.08500,12.0538,57.5,0.05750,12.0550,1190.0,0.03606,5.0812,695.0,0.06950,12.0562,225.0,0.02250,12.0538,290.0,0.02900,12.0562,52.5,0.00525,12.0562,-5.0,-0.00050,12.0575,-7.5,-0.00075,12.0538,-7.5,-0.00075,12.0550,-5.0,-0.00050,12.0550,-5.0,-0.00050,12.0550,-5.0,-0.00050,12.0562,-7.5,-0.00075,5.98
6,106036,1,0,4.54,0.0,0.0,0.0,0.0,15.0387,85.0,0.08500,12.0538,60.0,0.06000,12.0550,1190.0,0.03606,5.0812,695.0,0.06950,12.0562,225.0,0.02250,12.0538,290.0,0.02900,12.0562,52.5,0.00525,12.0562,-5.0,-0.00050,12.0575,-7.5,-0.00075,12.0538,-7.5,-0.00075,12.0550,-5.0,-0.00050,12.0550,-5.0,-0.00050,12.0550,-5.0,-0.00050,12.0562,-7.5,-0.00075,6.32
6,106373,1,0,4.82,0.0,0.0,0.0,0.0,15.0387,85.0,0.08500,12.0538,57.5,0.05750,12.0550,1190.0,0.03606,5.0812,695.0,0.06950,12.0562,225.0,0.02250,12.0538,290.0,0.02900,12.0562,52.5,0.00525,12.0562,-5.0,-0.00050,12.0575,-7.5,-0.00075,12.0538,-7.5,-0.00075,12.0550,-5.0,-0.00050,12.0550,-5.0,-0.00050,12.0550,-5.0,-0.00050,12.0562,-7.5,-0.00075,6.66
6,106709,1,0,5.10,0.0,0.0,0.0,0.0,15.0387,82.5,0.08250,12.0538,57.5,0.05750,12.0550,1190.0,0.03606,5.0812,695.0,0.06950,12.0562,222.5,0.02225,12.0538,287.5,0.02875,12.0562,50.0,0.00500,12.0562,-5.0,-0.00050,12.0575,-7.5,-0.00075,12.0538,-7.5,-0.00075,12.0550,-5.0,-0.00050,12.0550,-5.0,-0.00050,12.0550,-5.0,-0.00050,12.0562,-7.5,-0.00075,7.00
6,107044,1,0,5.38,0.0,0.0,0.0,0.0,15.0387,82.5,0.08250,12.0538,57.5,0.05750,12.0550,1192.5,0.03614,5.0812,695.0,0.06950,12.0562,222.5,0.02225,12.0538,287.5,0.02875,12.0562,50.0,0.00500,12.0562,-5.0,-0.00050,12.0575,-7.5,-0.00075,12.0538,-7.5,-0.00075,12.0550,-5.0,-0.00050,12.0550,-5.0,-0.00050,12.0550,-5.0,-0.00050,12.0562,-7.5,-0.00075,7.32
6,107379,1,0,5.66,0.0,0.0,0.0,0.0,15.0387,82.5,0.08250,12.0550,57.5,0.05750,12.0550,1192.5,0.03614,5.0812,695.0,0.06950,12.0562,222.5,0.02225,12.0538,287.5,0.02875,12.0562,50.0,0.00500,12.0562,-5.0,-0.00050,12.0575,-7.5,-0.00075,12.0538,-7.5,-0.00075,12.0550,-5.0,-0.00050,12.0550,-5.0,-0.00050,12.0550,-5.0,-0.00050,12.0562,-7.5,-0.00075,7.66
