run,t_ms,n,flags,pwm_pct,fan1_rpm,fan2_rpm,fan3_rpm,fan4_rpm,in_V,in_uV,in_A,fan12_V,fan12_uV,fan12_A,b5in_V,b5in_uV,b5in_A,b5out_V,b5out_uV,b5out_A,fan1_V,fan1_uV,fan1_A,fan2_V,fan2_uV,fan2_A,fan3_V,fan3_uV,fan3_A,fan4_V,fan4_uV,fan4_A,fan5_V,fan5_uV,fan5_A,fan6_V,fan6_uV,fan6_A,fan7_V,fan7_uV,fan7_A,fan8_V,fan8_uV,fan8_A,fan9_V,fan9_uV,fan9_A,fan10_V,fan10_uV,fan10_A,pc_time_s
5,644770,1,0,100.00,2577.0,2385.6,2287.1,0.0,14.5862,2632.5,2.63250,11.1037,2980.0,2.98000,11.1087,1287.5,0.03902,5.0800,702.5,0.07025,11.0763,11272.5,1.12725,11.0725,13865.0,1.38650,11.0875,3237.5,0.32375,11.0925,-5.0,-0.00050,11.0950,-7.5,-0.00075,11.0900,-7.5,-0.00075,11.0925,-5.0,-0.00050,11.0950,-5.0,-0.00050,11.0975,-5.0,-0.00050,11.0988,-7.5,-0.00075,0.50
5,645117,1,0,100.00,2469.7,2592.2,2396.5,0.0,14.5825,2657.5,2.65750,11.0988,3007.5,3.00750,11.1037,1295.0,0.03924,5.0800,702.5,0.07025,11.0712,11422.5,1.14225,11.0650,13942.5,1.39425,11.0837,3240.0,0.32400,11.0875,-5.0,-0.00050,11.0900,-7.5,-0.00075,11.0850,-7.5,-0.00075,11.0862,-5.0,-0.00050,11.0887,-5.0,-0.00050,11.0900,-5.0,-0.00050,11.0912,-7.5,-0.00075,0.84
5,645453,1,0,99.72,3004.7,2816.9,2860.1,0.0,14.5850,2642.5,2.64250,11.1025,2987.5,2.98750,11.1075,1290.0,0.03909,5.0800,705.0,0.07050,11.0737,11380.0,1.13800,11.0725,13827.5,1.38275,11.0887,3255.0,0.32550,11.0925,-5.0,-0.00050,11.0938,-7.5,-0.00075,11.0900,-7.5,-0.00075,11.0925,-5.0,-0.00050,11.0950,-5.0,-0.00050,11.0975,-5.0,-0.00050,11.0975,-7.5,-0.00075,1.18
5,645789,1,0,99.44,2791.3,2920.3,2813.1,0.0,14.5812,2667.5,2.66750,11.0938,3017.5,3.01750,11.1000,1290.0,0.03909,5.0800,702.5,0.07025,11.0675,11462.5,1.14625,11.0612,14050.0,1.40500,11.0775,3257.5,0.32575,11.0850,-5.0,-0.00050,11.0875,-7.5,-0.00075,11.0862,-7.5,-0.00075,11.0887,-5.0,-0.00050,11.0875,-5.0,-0.00050,11.0887,-5.0,-0.00050,11.0912,-7.5,-0.00075,1.51
5,646283,1,0,99.03,2578.1,2594.8,2820.8,0.0,14.5812,2665.0,2.66500,11.0962,3017.5,3.01750,11.1000,1295.0,0.03924,5.0800,705.0,0.07050,11.0675,11427.5,1.14275,11.0637,14085.0,1.40850,11.0825,3242.5,0.32425,11.0862,-5.0,-0.00050,11.0875,-7.5,-0.00075,11.0837,-7.5,-0.00075,11.0862,-5.0,-0.00050,11.0875,-5.0,-0.00050,11.0900,-5.0,-0.00050,11.0912,-7.5,-0.00075,2.01
5,646619,1,0,98.75,2791.8,2700.9,2662.3,0.0,14.5825,2657.5,2.65750,11.1000,3002.5,3.00250,11.1050,1292.5,0.03917,5.0800,702.5,0.07025,11.0700,11367.5,1.13675,11.0650,14045.0,1.40450,11.0825,3242.5,0.32425,11.0875,-5.0,-0.00050,11.0887,-7.5,-0.00075,11.0862,-7.5,-0.00075,11.0887,-5.0,-0.00050,11.0912,-5.0,-0.00050,11.0925,-5.0,-0.00050,11.0938,-7.5,-0.00075,2.36
5,646976,1,0,98.45,2680.4,2701.7,3045.3,0.0,14.5862,2627.5,2.62750,11.1075,2975.0,2.97500,11.1125,1295.0,0.03924,5.0800,705.0,0.07050,11.0800,11172.5,1.11725,11.0763,13875.0,1.38750,11.0925,3232.5,0.32325,11.0975,-5.0,-0.00050,11.1000,-7.5,-0.00075,11.0962,-7.5,-0.00075,11.0975,-5.0,-0.00050,11.0988,-5.0,-0.00050,11.1012,-5.0,-0.00050,11.1025,-7.5,-0.00075,2.70
5,647312,1,0,98.17,2991.5,3025.3,2602.0,0.0,14.5875,2625.0,2.62500,11.1100,2972.5,2.97250,11.1137,1287.5,0.03902,5.0800,705.0,0.07050,11.0837,11012.5,1.10125,11.0787,14027.5,1.40275,11.0950,3242.5,0.32425,11.1000,-5.0,-0.00050,11.1025,-7.5,-0.00075,11.0988,-7.5,-0.00075,11.1012,-5.0,-0.00050,11.1012,-5.0,-0.00050,11.1037,-5.0,-0.00050,11.1050,-7.5,-0.00075,3.03
5,647865,1,0,97.71,2757.8,2786.8,2944.9,0.0,14.5887,2605.0,2.60500,11.1150,2955.0,2.95500,11.1200,1287.5,0.03902,5.0800,702.5,0.07025,11.0887,10887.5,1.08875,11.0850,13940.0,1.39400,11.1012,3285.0,0.32850,11.1037,-5.0,-0.00050,11.1062,-7.5,-0.00075,11.1037,-7.5,-0.00075,11.1062,-5.0,-0.00050,11.1062,-5.0,-0.00050,11.1087,-5.0,-0.00050,11.1112,-7.5,-0.00075,3.59
5,648201,1,0,97.43,2854.5,2805.1,2772.3,0.0,14.5862,2630.0,2.63000,11.1100,2972.5,2.97250,11.1150,1290.0,0.03909,5.0800,702.5,0.07025,11.0837,11157.5,1.11575,11.0763,13950.0,1.39500,11.0950,3242.5,0.32425,11.1012,-5.0,-0.00050,11.1025,-7.5,-0.00075,11.0988,-7.5,-0.00075,11.1012,-5.0,-0.00050,11.1037,-5.0,-0.00050,11.1025,-5.0,-0.00050,11.1037,-7.5,-0.00075,3.93
