run,t_ms,n,flags,pwm_pct,in_V,in_uV,in_A,fan12_V,fan12_uV,fan12_A,b5in_V,b5in_uV,b5in_A,b5out_V,b5out_uV,b5out_A,fan1_V,fan1_uV,fan1_A,fan2_V,fan2_uV,fan2_A,fan3_V,fan3_uV,fan3_A,fan4_V,fan4_uV,fan4_A,fan5_V,fan5_uV,fan5_A,fan6_V,fan6_uV,fan6_A,fan7_V,fan7_uV,fan7_A,fan8_V,fan8_uV,fan8_A,fan9_V,fan9_uV,fan9_A,fan10_V,fan10_uV,fan10_A,pc_time_s
1,526960,1,0,0.00,8.9950,75.0,0.07500,12.0775,10.0,0.01000,12.0775,1187.5,0.03598,5.0812,697.5,0.06975,12.0800,37.5,0.00375,12.0775,40.0,0.00400,12.0800,35.0,0.00350,12.0800,-5.0,-0.00050,12.0813,-7.5,-0.00075,12.0775,-7.5,-0.00075,12.0787,-5.0,-0.00050,12.0787,-5.0,-0.00050,12.0787,-5.0,-0.00050,12.0800,-7.5,-0.00075,0.70
1,527307,1,0,0.01,8.9950,75.0,0.07500,12.0775,10.0,0.01000,12.0787,1187.5,0.03598,5.0812,697.5,0.06975,12.0800,37.5,0.00375,12.0775,40.0,0.00400,12.0800,35.0,0.00350,12.0800,-5.0,-0.00050,12.0813,-7.5,-0.00075,12.0775,-7.5,-0.00075,12.0787,-5.0,-0.00050,12.0787,-5.0,-0.00050,12.0787,-5.0,-0.00050,12.0800,-7.5,-0.00075,1.05
1,527654,1,0,0.30,8.9963,75.0,0.07500,12.0775,10.0,0.01000,12.0787,1185.0,0.03591,5.0812,697.5,0.06975,12.0800,37.5,0.00375,12.0787,40.0,0.00400,12.0800,35.0,0.00350,12.0800,-5.0,-0.00050,12.0813,-7.5,-0.00075,12.0775,-7.5,-0.00075,12.0787,-5.0,-0.00050,12.0787,-5.0,-0.00050,12.0787,-5.0,-0.00050,12.0800,-7.5,-0.00075,1.39
1,527990,1,0,0.58,8.9963,75.0,0.07500,12.0775,10.0,0.01000,12.0787,1187.5,0.03598,5.0812,697.5,0.06975,12.0800,37.5,0.00375,12.0787,40.0,0.00400,12.0800,35.0,0.00350,12.0800,-5.0,-0.00050,12.0813,-7.5,-0.00075,12.0775,-7.5,-0.00075,12.0787,-5.0,-0.00050,12.0787,-5.0,-0.00050,12.0787,-5.0,-0.00050,12.0800,-7.5,-0.00075,1.72
1,528407,1,0,0.93,8.9963,75.0,0.07500,12.0775,10.0,0.01000,12.0787,1187.5,0.03598,5.0812,697.5,0.06975,12.0800,37.5,0.00375,12.0787,40.0,0.00400,12.0813,35.0,0.00350,12.0800,-5.0,-0.00050,12.0813,-7.5,-0.00075,12.0775,-7.5,-0.00075,12.0787,-5.0,-0.00050,12.0787,-5.0,-0.00050,12.0787,-5.0,-0.00050,12.0800,-7.5,-0.00075,2.14
1,528742,1,0,1.21,8.9963,75.0,0.07500,12.0775,10.0,0.01000,12.0775,1187.5,0.03598,5.0812,697.5,0.06975,12.0800,37.5,0.00375,12.0775,40.0,0.00400,12.0800,35.0,0.00350,12.0800,-5.0,-0.00050,12.0813,-7.5,-0.00075,12.0775,-7.5,-0.00075,12.0787,-5.0,-0.00050,12.0787,-5.0,-0.00050,12.0787,-5.0,-0.00050,12.0800,-7.5,-0.00075,2.48
1,529077,1,0,1.48,8.9963,75.0,0.07500,12.0775,10.0,0.01000,12.0775,1187.5,0.03598,5.0812,697.5,0.06975,12.0800,37.5,0.00375,12.0775,40.0,0.00400,12.0800,35.0,0.00350,12.0800,-5.0,-0.00050,12.0813,-7.5,-0.00075,12.0775,-7.5,-0.00075,12.0787,-5.0,-0.00050,12.0787,-5.0,-0.00050,12.0787,-5.0,-0.00050,12.0800,-7.5,-0.00075,2.81
1,529412,1,0,1.76,8.9963,75.0,0.07500,12.0775,10.0,0.01000,12.0775,1190.0,0.03606,5.0812,697.5,0.06975,12.0800,37.5,0.00375,12.0775,40.0,0.00400,12.0800,35.0,0.00350,12.0800,-5.0,-0.00050,12.0813,-7.5,-0.00075,12.0775,-7.5,-0.00075,12.0787,-5.0,-0.00050,12.0787,-5.0,-0.00050,12.0787,-5.0,-0.00050,12.0800,-7.5,-0.00075,3.15
1,529894,1,0,2.17,8.9963,75.0,0.07500,12.0775,10.0,0.01000,12.0787,1190.0,0.03606,5.0812,697.5,0.06975,12.0800,37.5,0.00375,12.0787,40.0,0.00400,12.0800,35.0,0.00350,12.0800,-5.0,-0.00050,12.0813,-7.5,-0.00075,12.0775,-7.5,-0.00075,12.0787,-5.0,-0.00050,12.0787,-5.0,-0.00050,12.0787,-5.0,-0.00050,12.0800,-7.5,-0.00075,3.63
1,530230,1,0,2.45,8.9963,75.0,0.07500,12.0775,10.0,0.01000,12.0775,1190.0,0.03606,5.0812,697.5,0.06975,12.0800,37.5,0.00375,12.0775,40.0,0.00400,12.0800,35.0,0.00350,12.0800,-5.0,-0.00050,12.0813,-7.5,-0.00075,12.0775,-7.5,-0.00075,12.0787,-5.0,-0.00050,12.0787,-5.0,-0.00050,12.0787,-5.0,-0.00050,12.0800,-7.5,-0.00075,3.97
1,530565,1,0,2.72,8.9963,75.0,0.07500,12.0775,10.0,0.01000,12.0775,1190.0,0.03606,5.0812,697.5,0.06975,12.0800,37.5,0.00375,12.0775,40.0,0.00400,12.0800,35.0,0.00350,12.0800,-5.0,-0.00050,12.0813,-7.5,-0.00075,12.0775,-7.5,-0.00075,12.0787,-5.0,-0.00050,12.0787,-5.0,-0.00050,12.0787,-5.0,-0.00050,12.0800,-7.5,-0.00075,4.30
1,530900,1,0,3.00,8.9963,75.0,0.07500,12.0775,10.0,0.01000,12.0787,1190.0,0.03606,5.0812,697.5,0.06975,12.0800,37.5,0.00375,12.0775,40.0,0.00400,12.0800,35.0,0.00350,12.0800,-5.0,-0.00050,12.0813,-7.5,-0.00075,12.0775,-7.5,-0.00075,12.0787,-5.0,-0.00050,12.0787,-5.0,-0.00050,12.0787,-5.0,-0.00050,12.0800,-7.5,-0.00075,4.64
1,531307,1,0,3.34,8.9963,75.0,0.07500,12.0775,10.0,0.01000,12.0787,1190.0,0.03606,5.0812,697.5,0.06975,12.0813,37.5,0.00375,12.0787,40.0,0.00400,12.0813,35.0,0.00350,12.0800,-5.0,-0.00050,12.0813,-7.5,-0.00075,12.0775,-7.5,-0.00075,12.0787,-5.0,-0.00050,12.0787,-5.0,-0.00050,12.0787,-5.0,-0.00050,12.0800,-7.5,-0.00075,5.05
1,531643,1,0,3.62,8.9963,75.0,0.07500,12.0775,10.0,0.01000,12.0775,1187.5,0.03598,5.0812,697.5,0.06975,12.0800,37.5,0.00375,12.0775,40.0,0.00400,12.0800,35.0,0.00350,12.0800,-5.0,-0.00050,12.0813,-7.5,-0.00075,12.0775,-7.5,-0.00075,12.0787,-5.0,-0.00050,12.0787,-5.0,-0.00050,12.0787,-5.0,-0.00050,12.0800,-7.5,-0.00075,5.40
1,531989,1,0,3.91,8.9963,75.0,0.07500,12.0775,10.0,0.01000,12.0775,1187.5,0.03598,5.0812,697.5,0.06975,12.0800,37.5,0.00375,12.0775,40.0,0.00400,12.0800,35.0,0.00350,12.0800,-5.0,-0.00050,12.0813,-7.5,-0.00075,12.0775,-7.5,-0.00075,12.0787,-5.0,-0.00050,12.0787,-5.0,-0.00050,12.0787,-5.0,-0.00050,12.0800,-7.5,-0.00075,5.73
1,532325,1,0,4.19,8.9963,75.0,0.07500,12.0775,10.0,0.01000,12.0787,1190.0,0.03606,5.0812,697.5,0.06975,12.0800,37.5,0.00375,12.0787,40.0,0.00400,12.0800,35.0,0.00350,12.0800,-5.0,-0.00050,12.0813,-7.5,-0.00075,12.0775,-7.5,-0.00075,12.0787,-5.0,-0.00050,12.0787,-5.0,-0.00050,12.0787,-5.0,-0.00050,12.0800,-7.5,-0.00075,6.06
1,532740,1,0,4.54,8.9963,75.0,0.07500,12.0787,10.0,0.01000,12.0787,1190.0,0.03606,5.0812,697.5,0.06975,12.0813,37.5,0.00375,12.0787,40.0,0.00400,12.0813,35.0,0.00350,12.0800,-5.0,-0.00050,12.0813,-7.5,-0.00075,12.0775,-7.5,-0.00075,12.0787,-5.0,-0.00050,12.0787,-5.0,-0.00050,12.0800,-5.0,-0.00050,12.0800,-7.5,-0.00075,6.47
1,533076,1,0,4.82,8.9963,75.0,0.07500,12.0775,10.0,0.01000,12.0787,1192.5,0.03614,5.0812,697.5,0.06975,12.0800,37.5,0.00375,12.0787,40.0,0.00400,12.0800,35.0,0.00350,12.0800,-5.0,-0.00050,12.0813,-7.5,-0.00075,12.0775,-7.5,-0.00075,12.0787,-5.0,-0.00050,12.0787,-5.0,-0.00050,12.0787,-5.0,-0.00050,12.0800,-7.5,-0.00075,6.82
