time,channels,dmm_also,sketch_cmd,dmm_range,dmm_A,dmm_res_A,dmm_spread_A,n_rows,pwm_pct,fan1_rpm,fan2_rpm,fan3_rpm,fan4_rpm,in_V,in_uV,in_A,fan12_V,fan12_uV,fan12_A,b5in_V,b5in_uV,b5in_A,b5out_V,b5out_uV,b5out_A,fan1_V,fan1_uV,fan1_A,fan2_V,fan2_uV,fan2_A,fan3_V,fan3_uV,fan3_A,fan4_V,fan4_uV,fan4_A,fan5_V,fan5_uV,fan5_A,fan6_V,fan6_uV,fan6_A,fan7_V,fan7_uV,fan7_A,fan8_V,fan8_uV,fan8_A,fan9_V,fan9_uV,fan9_A,fan10_V,fan10_uV,fan10_A,in_A_std,fan12_A_std,b5in_A_std,b5out_A_std,fan1_A_std,fan2_A_std,fan3_A_std,fan4_A_std,fan5_A_std,fan6_A_std,fan7_A_std,fan8_A_std,fan9_A_std,fan10_A_std
2026-09-15T15:46:35,fan12,,pwm 0,10a,0.093,0.001,0.0,24,0.0,0.0,0.0,0.0,0.0,15.0725,87.39583333333333,0.08739583333333333,12.035000000000002,63.958333333333336,0.06395833333333334,12.035758333333334,1174.7916666666667,0.03560333333333334,5.0812,690.0,0.069,12.037149999999999,242.5,0.024250000000000004,12.035000000000002,310.0,0.031,12.0375,52.5,0.00525,12.03745,-5.0,-0.0005,12.038049999999998,-7.5,-0.0007500000000000001,12.035000000000002,-7.5,-0.0007500000000000001,12.036300000000002,-5.0,-0.0005,12.036300000000002,-5.0,-0.0005,12.036300000000002,-5.0,-0.0005,12.0375,-7.5,-0.0007500000000000001,0.0005103103630798264,0.0012590253879633383,2.2586388102932235e-05,0.0,3.544067251165858e-18,0.0,0.0,0.0,1.1075210159893307e-19,1.1075210159893307e-19,0.0,0.0,0.0,1.1075210159893307e-19
2026-09-15T15:47:15,fan12,,pwm 10,10a,0.165,0.001,0.0,24,10.0,528.6583333333333,572.9,531.1875,0.0,15.0675,148.22916666666666,0.14822916666666666,12.021154166666667,139.16666666666666,0.13916666666666666,12.02185,1182.5,0.03583041666666666,5.0812,694.0625,0.06940625,12.022279166666669,524.8958333333334,0.05248958333333333,12.02005,656.5625,0.06565625000000001,12.023154166666666,127.08333333333333,0.012708333333333334,12.02305,-5.0,-0.0005,12.023920833333335,-7.5,-0.0007500000000000001,12.0206,-7.5,-0.0007500000000000001,12.021795833333334,-5.0,-0.0005,12.021904166666667,-5.0,-0.0005,12.022120833333332,-5.0,-0.0005,12.023049999999998,-7.5,-0.0007500000000000001,0.0023864616643395568,0.0030986205439456887,2.216129933929368e-05,0.00012363383876171018,0.000873769839193399,0.0012614960493829137,0.0003734872870971489,0.0,1.1075210159893307e-19,1.1075210159893307e-19,0.0,0.0,0.0,1.1075210159893307e-19
2026-09-15T15:47:53,fan12,,pwm 20,10a,0.226,0.001,0.0,24,20.0,842.9791666666666,848.9916666666668,766.7541666666666,0.0,15.0612,205.0,0.205,12.0087,209.16666666666666,0.20916666666666664,12.009458333333333,1187.5,0.03598041666666667,5.0812,695.0,0.0695,12.008916666666666,779.2708333333334,0.07792708333333333,12.006795833333333,979.7916666666666,0.09797916666666666,12.0103,199.375,0.0199375,12.01025,-5.0,-0.0005,12.011254166666665,-7.5,-0.0007500000000000001,12.007800000000001,-7.5,-0.0007500000000000001,12.008808333333334,-5.0,-0.0005,12.009187500000001,-5.0,-0.0005,12.009837499999998,-5.0,-0.0005,12.0105,-7.5,-0.0007500000000000001,0.0,0.0012038585308576932,2.216129933929476e-05,0.0,0.00020161261103298153,0.0007764070910382606,0.0002971787633585289,0.0,1.1075210159893307e-19,1.1075210159893307e-19,0.0,0.0,0.0,1.1075210159893307e-19
2026-09-15T15:48:28,fan12,,pwm 30,10a,0.328,0.001,0.0,24,30.0,1057.3708333333332,1110.9833333333333,1032.3666666666668,0.0,15.05115,297.2916666666667,0.2972916666666667,11.989945833333332,322.1875,0.3221875,11.990866666666667,1192.1875,0.03612958333333333,5.0812,697.5,0.06975,11.988862499999998,1176.6666666666667,0.11766666666666666,11.986416666666669,1494.375,0.1494375,11.990975,325.5208333333333,0.032552083333333336,11.991083333333334,-5.0,-0.0005,11.99215,-7.5,-0.0007500000000000001,11.9886,-7.5,-0.0007500000000000001,11.989891666666665,-5.0,-0.0005,11.99,-5.0,-0.0005,11.990324999999999,-5.0,-0.0005,11.991295833333334,-7.5,-0.0007500000000000001,0.0007058246282166005,0.0008445799058652211,3.482617289971014e-05,0.0,0.0005598265777019214,0.0008730568485898079,0.000275633328688782,0.0,1.1075210159893307e-19,1.1075210159893307e-19,0.0,0.0,0.0,1.1075210159893307e-19
2026-09-15T15:48:59,fan12,,pwm 40,10a,0.475,0.001,0.0,24,40.0,1262.0249999999999,1314.0333333333333,1305.0583333333334,0.0,15.035433333333335,427.8125,0.4278125,11.962800000000001,482.2916666666667,0.4822916666666666,11.9638625,1197.7083333333333,0.03629416666666667,5.0812,697.6041666666666,0.06976041666666667,11.96105,1749.7916666666667,0.17497916666666669,11.95845,2210.1041666666665,0.22101041666666665,11.963149999999999,504.8958333333333,0.05048958333333334,11.96365,-5.0,-0.0005,11.964837499999996,-7.5,-0.0007500000000000001,11.9612,-7.5,-0.0007500000000000001,11.962441666666669,-5.0,-0.0005,11.9627,-5.0,-0.0005,11.963299999999998,-5.0,-0.0005,11.964133333333331,-7.5,-0.0007500000000000001,0.0015309310892394877,0.0017932037558919323,4.87153816139957e-05,5.1031036307982926e-05,0.0009666073195175635,0.0010174541082126713,0.00020161261103298153,0.0,1.1075210159893307e-19,1.1075210159893307e-19,0.0,0.0,0.0,1.1075210159893307e-19
2026-09-15T15:49:29,fan12,,pwm 50,10a,0.681,0.001,0.0,24,50.0,1523.3666666666666,1700.3,1544.2416666666668,0.0,15.013691666666665,612.7083333333334,0.6127083333333333,11.925500000000001,708.9583333333334,0.7089583333333334,11.926904166666667,1203.9583333333333,0.03648666666666667,5.0812,700.0,0.07,11.921012499999998,2557.6041666666665,0.25576041666666666,11.918299999999997,3247.8125,0.32478124999999997,11.924350000000002,753.3333333333334,0.07533333333333332,11.925091666666669,-5.0,-0.0005,11.926204166666666,-7.5,-0.0007500000000000001,11.922899999999998,-7.5,-0.0007500000000000001,11.924191666666667,-5.0,-0.0005,11.924675000000002,-5.0,-0.0005,11.925145833333337,-5.0,-0.0005,11.926154166666668,-7.5,-0.0007500000000000001,0.0016346563703957334,0.0029411498293763667,4.028881241482515e-05,0.0,0.0011966419651481513,0.0017972087355481124,0.0006019292654288465,0.0,1.1075210159893307e-19,1.1075210159893307e-19,0.0,0.0,0.0,1.1075210159893307e-19
2026-09-15T15:49:54,fan12,,pwm 60,10a,0.956,0.001,0.0,24,60.0,1757.9833333333336,1914.7458333333334,1803.2583333333332,0.0,14.983600000000001,861.0416666666666,0.8610416666666666,11.880245833333333,1007.1875,1.0071875,11.881954166666667,1212.3958333333333,0.03673916666666667,5.0812,700.0,0.07,11.872900000000001,3619.8958333333335,0.3619895833333333,11.869891666666668,4609.895833333333,0.4609895833333333,11.877058333333332,1106.7708333333333,0.11067708333333333,11.878454166666666,-5.0,-0.0005,11.879779166666665,-7.5,-0.0007500000000000001,11.876470833333334,-7.5,-0.0007500000000000001,11.878,-5.0,-0.0005,11.878404166666668,-5.0,-0.0005,11.878920833333334,-5.0,-0.0005,11.880141666666667,-7.5,-0.0007500000000000001,0.0026495145850196594,0.0034033631065143164,5.166082248387121e-05,0.0,0.002055585136554357,0.0019705428057455085,0.001187523836526595,0.0,1.1075210159893307e-19,1.1075210159893307e-19,0.0,0.0,0.0,1.1075210159893307e-19
2026-09-15T15:50:22,fan12,,pwm 70,10a,1.316,0.001,0.0,24,70.0,1985.9083333333335,2092.4666666666667,2081.233333333333,0.0,14.943766666666667,1193.0208333333333,1.1930208333333334,11.819241666666665,1400.5208333333333,1.4005208333333332,11.821591666666665,1220.625,0.03699,5.0812,701.25,0.070125,11.808250000000001,5028.333333333333,0.5028333333333334,11.804733333333333,6451.145833333333,0.6451145833333333,11.813820833333333,1556.9791666666667,0.15569791666666666,11.815904166666668,-5.0,-0.0005,11.817324999999999,-7.5,-0.0007500000000000001,11.814354166666666,-7.5,-0.0007500000000000001,11.815804166666666,-5.0,-0.0005,11.816491666666666,-5.0,-0.0005,11.817116666666669,-5.0,-0.0005,11.818249999999999,-7.5,-0.0007500000000000001,0.004543220383084587,0.005564794551984573,6.573993558283081e-05,0.0001276884796138124,0.003425183799151663,0.0036115599172977697,0.001343218002205628,0.0,1.1075210159893307e-19,1.1075210159893307e-19,0.0,0.0,0.0,1.1075210159893307e-19
2026-09-15T15:50:51,fan12,,pwm 80,10a,1.805,0.001,0.0,24,80.0,2308.008333333333,2445.804166666667,2362.3,0.0,14.890300000000002,1636.6666666666667,1.6366666666666667,11.737575,1921.875,1.921875,11.740845833333333,1231.25,0.037309583333333333,5.08075,702.5,0.07025,11.721608333333334,6861.354166666667,0.6861354166666667,11.71745,8950.3125,0.8950312500000001,11.729041666666667,2125.3125,0.21253124999999998,11.732316666666668,-5.0,-0.0005,11.733783333333335,-7.5,-0.0007500000000000001,11.730758333333332,-7.5,-0.0007500000000000001,11.732474999999999,-5.0,-0.0005,11.733208333333332,-5.0,-0.0005,11.734504166666667,-5.0,-0.0005,11.7356,-7.5,-0.0007500000000000001,0.008836272412331326,0.01051008832131012,0.00011265488532862665,0.0,0.00451385497943412,0.01027669178392244,0.002722004236811068,0.0,1.1075210159893307e-19,1.1075210159893307e-19,0.0,0.0,0.0,1.1075210159893307e-19
2026-09-15T15:51:32,fan12,,pwm 90,10a,2.39,0.01,0.0,24,90.0,2598.629166666667,2664.2625000000003,2603.4875,0.0,14.824104166666666,2185.8333333333335,2.1858333333333335,11.622179166666669,2569.2708333333335,2.569270833333333,11.626391666666668,1244.7916666666667,0.037720833333333335,5.08,702.5,0.07025,11.599733333333333,9121.25,0.912125,11.595304166666667,11843.4375,1.18434375,11.6097125,2954.4791666666665,0.29544791666666664,11.614158333333334,-5.0,-0.0005,11.61615,-7.5,-0.0007500000000000001,11.613,-7.5,-0.0007500000000000001,11.6148375,-5.0,-0.0005,11.615783333333333,-5.0,-0.0005,11.617395833333333,-5.0,-0.0005,11.61865,-7.5,-0.0007500000000000001,0.013056454897588105,0.015224393445950548,5.845225972249945e-05,0.0,0.010079574697721961,0.01259309086364423,0.0036860335453033333,0.0,1.1075210159893307e-19,1.1075210159893307e-19,0.0,0.0,0.0,1.1075210159893307e-19
