time,channels,sketch_cmd,dmm_range,dmm_A,dmm_res_A,dmm_spread_A,n_rows,pwm_pct,fan1_rpm,fan2_rpm,fan3_rpm,fan4_rpm,in_V,in_uV,in_A,fan12_V,fan12_uV,fan12_A,b5in_V,b5in_uV,b5in_A,b5out_V,b5out_uV,b5out_A,fan1_V,fan1_uV,fan1_A,fan2_V,fan2_uV,fan2_A,fan3_V,fan3_uV,fan3_A,fan4_V,fan4_uV,fan4_A,fan5_V,fan5_uV,fan5_A,fan6_V,fan6_uV,fan6_A,fan7_V,fan7_uV,fan7_A,fan8_V,fan8_uV,fan8_A,fan9_V,fan9_uV,fan9_A,fan10_V,fan10_uV,fan10_A,in_A_std,fan12_A_std,b5in_A_std,b5out_A_std,fan1_A_std,fan2_A_std,fan3_A_std,fan4_A_std,fan5_A_std,fan6_A_std,fan7_A_std,fan8_A_std,fan9_A_std,fan10_A_std
2026-09-15T13:51:30,fan12 fan1 fan2 fan3,pwm 0,10a,0.096,0.001,0.0,24,0.0,0.0,0.0,0.0,0.0,5.0310999999999995,272.1875,0.2721875,11.9859125,60.0,0.06,11.986554166666666,1181.7708333333333,0.03580958333333333,5.0812,692.5,0.06925,11.987720833333332,242.5,0.024250000000000004,11.9854875,310.1041666666667,0.031010416666666665,11.988574999999999,52.5,0.00525,11.987879166666668,-5.0,-0.0005,11.989004166666666,-7.5,-0.0007500000000000001,11.985537500000001,-7.5,-0.0007500000000000001,11.986654166666668,-5.0,-0.0005,11.9869125,-5.0,-0.0005,11.987312500000002,-5.0,-0.0005,11.988141666666666,-7.5,-0.0007500000000000001,0.0008445799058652211,0.0,3.250139350412784e-05,0.0,3.544067251165858e-18,5.1031036307982926e-05,0.0,0.0,1.1075210159893307e-19,1.1075210159893307e-19,0.0,0.0,0.0,1.1075210159893307e-19
2026-09-15T13:52:15,fan12 fan1 fan2 fan3,pwm 10,10a,0.162,0.001,0.0,24,10.0,500.5708333333334,556.0749999999999,517.9458333333333,0.0,5.005341666666666,455.0,0.45500000000000007,11.969341666666667,129.79166666666666,0.12979166666666667,11.970091666666667,1190.3125,0.03607,5.0812,695.625,0.06956250000000001,11.9704,513.75,0.051375000000000004,11.968254166666668,642.3958333333334,0.06423958333333334,11.971341666666667,124.6875,0.01246875,11.971020833333336,-5.0,-0.0005,11.972129166666667,-7.5,-0.0007500000000000001,11.968625000000003,-7.5,-0.0007500000000000001,11.969870833333331,-5.0,-0.0005,11.970079166666665,-5.0,-0.0005,11.970395833333335,-5.0,-0.0005,11.971395833333338,-7.5,-0.0007500000000000001,0.005614422421802161,0.002321528107437685,2.7026556987685946e-05,0.00011058146711617295,0.001034723235417587,0.001221365875341733,0.00033225595816949643,0.0,1.1075210159893307e-19,1.1075210159893307e-19,0.0,0.0,0.0,1.1075210159893307e-19
2026-09-15T13:52:55,fan12 fan1 fan2 fan3,pwm 30,10a,0.326,0.001,0.0,24,30.0,997.7083333333334,1095.8125,1065.3,0.0,4.948041666666667,914.4791666666666,0.9144791666666667,11.895558333333334,306.0416666666667,0.30604166666666666,11.896420833333332,1202.1875,0.03643,5.0812,697.8125,0.06978125,11.89495,1158.8541666666667,0.11588541666666667,11.892279166666667,1459.375,0.14593749999999997,11.896212499999999,343.2291666666667,0.03432291666666667,11.896279166666668,-5.0,-0.0005,11.897316666666667,-7.5,-0.0007500000000000001,11.894241666666668,-7.5,-0.0007500000000000001,11.895308333333332,-5.0,-0.0005,11.895566666666667,-5.0,-0.0005,11.895874999999998,-5.0,-0.0005,11.896904166666667,-7.5,-0.0007500000000000001,0.0020824273392338125,0.0014589801878044132,3.587417625171379e-05,8.44579905865221e-05,0.0010346685214479854,0.0012516293728402688,0.00038644960486646835,0.0,1.1075210159893307e-19,1.1075210159893307e-19,0.0,0.0,0.0,1.1075210159893307e-19
2026-09-15T13:54:07,fan12 fan1 fan2 fan3,pwm 50,10a,0.681,0.001,0.0,24,50.0,1546.8375000000003,1603.1000000000001,1567.5833333333333,0.0,14.818795833333333,621.5625,0.6215625,11.697629166666665,684.8958333333334,0.6848958333333334,11.699316666666666,1226.9791666666667,0.03718166666666667,5.08105,700.0,0.07,11.6932,2540.1041666666665,0.2540104166666666,11.69065,3222.2916666666665,0.3222291666666666,11.696383333333332,796.0416666666666,0.07960416666666667,11.697316666666666,-5.0,-0.0005,11.698579166666667,-7.5,-0.0007500000000000001,11.695029166666666,-7.5,-0.0007500000000000001,11.6966375,-5.0,-0.0005,11.696845833333333,-5.0,-0.0005,11.697741666666667,-5.0,-0.0005,11.698475,-7.5,-0.0007500000000000001,0.0024241201900178457,0.003253690769447561,7.044372818483988e-05,0.0,0.002302502380051962,0.0024282269728927897,0.0011442594592770163,0.0,1.1075210159893307e-19,1.1075210159893307e-19,0.0,0.0,0.0,1.1075210159893307e-19
2026-09-15T13:55:25,fan12 fan1 fan2 fan3,pwm 60,10a,0.967,0.001,0.0,24,60.0,1768.4458333333334,1860.4916666666668,1780.3541666666667,0.0,14.8060125,881.25,0.88125,11.590087500000001,986.7708333333334,0.9867708333333335,11.592070833333333,1241.25,0.03761375,5.08025,700.5208333333334,0.07005208333333333,11.582604166666664,3642.7083333333335,0.3642708333333333,11.579375,4635.9375,0.46359375,11.5867,1155.1041666666667,0.11551041666666667,11.58805,-5.0,-0.0005,11.589516666666668,-7.5,-0.0007500000000000001,11.585975,-7.5,-0.0007500000000000001,11.587533333333333,-5.0,-0.0005,11.588058333333334,-5.0,-0.0005,11.588895833333334,-5.0,-0.0005,11.589825,-7.5,-0.0007500000000000001,0.004544466295731926,0.005025974200756176,0.00012211229685612428,0.00010371277924976343,0.002448287629924357,0.00294220829886551,0.0017929195989797731,0.0,1.1075210159893307e-19,1.1075210159893307e-19,0.0,0.0,0.0,1.1075210159893307e-19
2026-09-15T13:56:13,fan12 fan1 fan2 fan3,pwm 70,10a,1.343,0.001,0.0,24,70.0,2028.425,2116.766666666667,2089.725,0.0,14.762229166666666,1228.3333333333333,1.2283333333333333,11.4325375,1387.8125,1.3878125000000001,11.434983333333335,1257.1875,0.038098749999999994,5.08,702.5,0.07025,11.421029166666665,5074.375,0.5074375,11.417537500000002,6523.854166666667,0.6523854166666667,11.42675,1652.9166666666667,0.1652916666666667,11.428991666666667,-5.0,-0.0005,11.430562499999999,-7.5,-0.0007500000000000001,11.427112499999998,-7.5,-0.0007500000000000001,11.428479166666667,-5.0,-0.0005,11.428891666666665,-5.0,-0.0005,11.430145833333333,-5.0,-0.0005,11.431345833333333,-7.5,-0.0007500000000000001,0.005835920751217674,0.0066884268963506004,5.674600158294949e-05,0.0,0.004192546440073607,0.005975483956508693,0.0031361034625050637,0.0,1.1075210159893307e-19,1.1075210159893307e-19,0.0,0.0,0.0,1.1075210159893307e-19
2026-09-15T13:56:52,fan12 fan1 fan2 fan3,pwm 80,10a,1.85,0.01,0.0,24,80.0,2285.120833333333,2397.133333333333,2440.1375000000003,0.0,14.702545833333332,1699.1666666666667,1.6991666666666667,11.361595833333334,1926.5625,1.9265625000000002,11.364941666666667,1264.1666666666667,0.0383075,5.08,702.5,0.07025,11.345091666666667,6963.958333333333,0.6963958333333334,11.340766666666667,9128.854166666666,0.9128854166666667,11.352333333333332,2294.2708333333335,0.2294270833333333,11.355604166666666,-5.0,-0.0005,11.357483333333333,-7.5,-0.0007500000000000001,11.354254166666665,-7.5,-0.0007500000000000001,11.355866666666666,-5.0,-0.0005,11.356858333333333,-5.0,-0.0005,11.3580625,-5.0,-0.0005,11.359249999999998,-7.5,-0.0007500000000000001,0.020716338157760073,0.023977032715206605,6.515866921533191e-05,0.0,0.008191630360985205,0.018909823069359823,0.005561650114197549,0.0,1.1075210159893307e-19,1.1075210159893307e-19,0.0,0.0,0.0,1.1075210159893307e-19
2026-09-15T13:57:23,fan12 fan1 fan2 fan3,pwm 82,10a,1.95,0.01,0.0,24,82.0,2331.1916666666666,2362.9500000000003,2504.875,0.0,14.691325,1787.2916666666667,1.7872916666666665,11.324516666666668,2027.9166666666667,2.0279166666666666,11.328166666666668,1267.9166666666667,0.03841958333333333,5.08,702.5,0.07025,11.3069625,7336.979166666667,0.7336979166666667,11.302691666666666,9562.8125,0.95628125,11.315083333333334,2440.5208333333335,0.2440520833333333,11.318266666666666,-5.0,-0.0005,11.320145833333333,-7.5,-0.0007500000000000001,11.317166666666665,-7.5,-0.0007500000000000001,11.318783333333334,-5.0,-0.0005,11.319304166666667,-5.0,-0.0005,11.32045,-5.0,-0.0005,11.321816666666669,-7.5,-0.0007500000000000001,0.01820649470039091,0.02059794558490825,7.882171222981871e-05,0.0,0.011950527359353931,0.01568409477159418,0.005514299182218399,0.0,1.1075210159893307e-19,1.1075210159893307e-19,0.0,0.0,0.0,1.1075210159893307e-19
2026-09-15T13:58:06,fan12 fan1 fan2 fan3,pwm 85,10a,2.09,0.01,0.0,24,85.0,2386.8333333333335,2537.8250000000003,2478.5125,0.0,14.670441666666667,1949.6875,1.9496875000000002,11.28405416666667,2211.4583333333335,2.2114583333333333,11.28785,1271.3541666666667,0.038525,5.08,702.5,0.07025,11.264566666666667,8009.375,0.8009375,11.260245833333334,10396.354166666666,1.0396354166666668,11.273166666666668,2691.3541666666665,0.2691354166666667,11.277387499999998,-5.0,-0.0005,11.279312499999998,-7.5,-0.0007500000000000001,11.276458333333332,-7.5,-0.0007500000000000001,11.277595833333331,-5.0,-0.0005,11.278679166666668,-5.0,-0.0005,11.279991666666666,-5.0,-0.0005,11.281187500000001,-7.5,-0.0007500000000000001,0.022376624303442002,0.024736839569436904,7.546954467805536e-05,0.0,0.01003776835149432,0.019176805958640814,0.004708329325379857,0.0,1.1075210159893307e-19,1.1075210159893307e-19,0.0,0.0,0.0,1.1075210159893307e-19
2026-09-15T13:58:46,fan12 fan1 fan2 fan3,pwm 90,10a,2.46,0.01,0.0,24,90.0,2548.4500000000003,2599.4500000000003,2636.7875,0.0,14.6309125,2264.5833333333335,2.2645833333333334,11.184516666666667,2567.0833333333335,2.567083333333333,11.18895,1280.5208333333333,0.03880416666666667,5.08,702.5,0.07025,11.161641666666668,9269.166666666666,0.9269166666666666,11.156754166666666,12120.625,1.2120624999999998,11.1714,3089.1666666666665,0.3089166666666667,11.175970833333333,-5.0,-0.0005,11.177850000000001,-7.5,-0.0007500000000000001,11.175091666666667,-7.5,-0.0007500000000000001,11.176858333333334,-5.0,-0.0005,11.177904166666666,-5.0,-0.0005,11.179354166666664,-5.0,-0.0005,11.180554166666667,-7.5,-0.0007500000000000001,0.022429438471458164,0.024788964351565555,9.779822469566298e-05,0.0,0.012889300135035052,0.0196379249877905,0.00586842447315303,0.0,1.1075210159893307e-19,1.1075210159893307e-19,0.0,0.0,0.0,1.1075210159893307e-19
