run,vin_nominal,P_out_W,eta,loss_W,Vin_V,Iin_A,rows
2026-09-15_151555_fans_5V,5,1.0939170748038438,0.9008770313128459,0.12027882336986528,5.029829545454546,0.24140065888345566,44
2026-09-15_151555_fans_5V,5,1.8361097906441335,0.9351355623255769,0.127159705125778,5.009076470588235,0.39194961548465196,51
2026-09-15_151555_fans_5V,5,2.5279634138439175,0.9492137756873905,0.133756382037459,4.989576842105263,0.5335556079580129,95
2026-09-15_151555_fans_5V,5,3.491922199374129,0.9602803872508785,0.14394470664683467,4.962104285714286,0.732829546941798,70
2026-09-15_151555_fans_5V,5,4.487605476773496,0.9667789828035844,0.15403263691513214,4.933244444444444,0.9409895282974907,54
2026-09-15_151555_fans_5V,5,5.730909155395665,0.9705565466150508,0.17358611483577135,4.896436764705882,1.2061386978702304,68
2026-09-15_151555_fans_5V,5,7.225719863435782,0.9718951487542727,0.20888659853203428,4.851013725490196,1.5328484247126963,51
2026-09-15_151555_fans_5V,5,8.979446019151306,0.9721379860784622,0.25760621477894574,4.796031666666667,1.9265339211692447,60
2026-09-15_151555_fans_5V,5,11.144078912951828,0.9716253888879771,0.3262224148969164,4.726125000000001,2.427731793652433,56
2026-09-15_151555_fans_5V,5,13.002568519749794,0.9681134755929316,0.4278028511867884,4.662025,2.8810235264741846,16
2026-09-15_151955_fans_9V,9,1.0959121473389748,0.9157481034636911,0.10066443910461698,9.135674999999999,0.13097871439422348,36
2026-09-15_151955_fans_9V,9,1.828424542739365,0.9503640173971168,0.09532298373562642,9.125641463414635,0.21080867598611666,41
2026-09-15_151955_fans_9V,9,2.4963163591766464,0.9602607045060884,0.10237448653462256,9.115068115942028,0.2851159350428181,69
2026-09-15_151955_fans_9V,9,3.444935059653894,0.9679256535060886,0.11360160112027673,9.100604918032786,0.3910380195581509,61
2026-09-15_151955_fans_9V,9,4.475666696377921,0.9750810611975409,0.11398933561867164,9.084904444444444,0.5052104573840531,45
2026-09-15_151955_fans_9V,9,5.715090606328601,0.9790238492643528,0.12203627467955958,9.065665384615384,0.643906752479589,52
2026-09-15_151955_fans_9V,9,7.174564109098395,0.9816009249595502,0.1343602642740951,9.043009302325581,0.8082730356995629,43
2026-09-15_151955_fans_9V,9,8.965889138106556,0.983437503484046,0.15101312072207485,9.014934,1.011382878992092,50
2026-09-15_151955_fans_9V,9,11.20824580384981,0.9846730194705329,0.1741976208540006,8.979587234042553,1.2676910454393513,47
