run,t_ms,n,flags,pwm_pct,fan1_rpm,fan2_rpm,fan3_rpm,fan4_rpm,in_V,in_uV,in_A,fan12_V,fan12_uV,fan12_A,b5in_V,b5in_uV,b5in_A,b5out_V,b5out_uV,b5out_A,fan1_V,fan1_uV,fan1_A,fan2_V,fan2_uV,fan2_A,fan3_V,fan3_uV,fan3_A,fan4_V,fan4_uV,fan4_A,fan5_V,fan5_uV,fan5_A,fan6_V,fan6_uV,fan6_A,fan7_V,fan7_uV,fan7_A,fan8_V,fan8_uV,fan8_A,fan9_V,fan9_uV,fan9_A,fan10_V,fan10_uV,fan10_A,pc_time_s
7,27714,1,0,0.00,0.0,0.0,0.0,0.0,5.0250,270.0,0.27000,12.0813,62.5,0.06250,12.0825,1175.0,0.03561,5.0812,690.0,0.06900,12.0837,242.5,0.02425,12.0813,310.0,0.03100,12.0837,52.5,0.00525,12.0837,-5.0,-0.00050,12.0850,-7.5,-0.00075,12.0813,-7.5,-0.00075,12.0825,-5.0,-0.00050,12.0825,-5.0,-0.00050,12.0825,-5.0,-0.00050,12.0837,-7.5,-0.00075,0.71
7,28061,1,0,0.01,0.0,0.0,0.0,0.0,5.0262,272.5,0.27250,12.0813,62.5,0.06250,12.0825,1172.5,0.03553,5.0812,687.5,0.06875,12.0837,242.5,0.02425,12.0813,310.0,0.03100,12.0837,52.5,0.00525,12.0837,-5.0,-0.00050,12.0850,-7.5,-0.00075,12.0813,-7.5,-0.00075,12.0825,-5.0,-0.00050,12.0825,-5.0,-0.00050,12.0825,-5.0,-0.00050,12.0837,-7.5,-0.00075,1.06
7,28397,1,0,0.29,0.0,0.0,0.0,0.0,5.0275,270.0,0.27000,12.0813,62.5,0.06250,12.0825,1172.5,0.03553,5.0812,690.0,0.06900,12.0837,240.0,0.02400,12.0813,307.5,0.03075,12.0837,52.5,0.00525,12.0837,-5.0,-0.00050,12.0850,-7.5,-0.00075,12.0813,-7.5,-0.00075,12.0825,-5.0,-0.00050,12.0825,-5.0,-0.00050,12.0825,-5.0,-0.00050,12.0837,-7.5,-0.00075,1.41
7,28754,1,0,0.59,0.0,0.0,0.0,0.0,5.0287,270.0,0.27000,12.0813,62.5,0.06250,12.0825,1177.5,0.03568,5.0812,690.0,0.06900,12.0837,240.0,0.02400,12.0813,310.0,0.03100,12.0837,52.5,0.00525,12.0837,-5.0,-0.00050,12.0850,-7.5,-0.00075,12.0813,-7.5,-0.00075,12.0825,-5.0,-0.00050,12.0825,-5.0,-0.00050,12.0825,-5.0,-0.00050,12.0837,-7.5,-0.00075,1.75
7,29091,1,0,0.87,0.0,0.0,0.0,0.0,5.0300,270.0,0.27000,12.0813,62.5,0.06250,12.0825,1175.0,0.03561,5.0812,690.0,0.06900,12.0837,240.0,0.02400,12.0813,307.5,0.03075,12.0837,52.5,0.00525,12.0837,-5.0,-0.00050,12.0850,-7.5,-0.00075,12.0813,-7.5,-0.00075,12.0825,-5.0,-0.00050,12.0825,-5.0,-0.00050,12.0825,-5.0,-0.00050,12.0837,-7.5,-0.00075,2.08
7,29427,1,0,1.15,0.0,0.0,0.0,0.0,5.0300,270.0,0.27000,12.0813,62.5,0.06250,12.0825,1172.5,0.03553,5.0812,690.0,0.06900,12.0837,240.0,0.02400,12.0813,307.5,0.03075,12.0837,52.5,0.00525,12.0837,-5.0,-0.00050,12.0850,-7.5,-0.00075,12.0813,-7.5,-0.00075,12.0825,-5.0,-0.00050,12.0825,-5.0,-0.00050,12.0825,-5.0,-0.00050,12.0837,-7.5,-0.00075,2.42
7,29762,1,0,1.43,0.0,0.0,0.0,0.0,5.0287,270.0,0.27000,12.0813,62.5,0.06250,12.0825,1175.0,0.03561,5.0812,690.0,0.06900,12.0837,240.0,0.02400,12.0813,307.5,0.03075,12.0837,52.5,0.00525,12.0837,-5.0,-0.00050,12.0850,-7.5,-0.00075,12.0813,-7.5,-0.00075,12.0825,-5.0,-0.00050,12.0825,-5.0,-0.00050,12.0825,-5.0,-0.00050,12.0837,-7.5,-0.00075,2.75
7,30097,1,0,1.71,0.0,0.0,0.0,0.0,5.0287,270.0,0.27000,12.0813,62.5,0.06250,12.0825,1172.5,0.03553,5.0812,690.0,0.06900,12.0837,240.0,0.02400,12.0813,307.5,0.03075,12.0837,52.5,0.00525,12.0837,-5.0,-0.00050,12.0850,-7.5,-0.00075,12.0813,-7.5,-0.00075,12.0825,-5.0,-0.00050,12.0825,-5.0,-0.00050,12.0825,-5.0,-0.00050,12.0837,-7.5,-0.00075,3.09
7,30433,1,0,1.99,0.0,0.0,0.0,0.0,5.0300,270.0,0.27000,12.0813,62.5,0.06250,12.0825,1172.5,0.03553,5.0812,690.0,0.06900,12.0837,240.0,0.02400,12.0813,307.5,0.03075,12.0837,52.5,0.00525,12.0837,-5.0,-0.00050,12.0850,-7.5,-0.00075,12.0813,-7.5,-0.00075,12.0825,-5.0,-0.00050,12.0825,-5.0,-0.00050,12.0825,-5.0,-0.00050,12.0837,-7.5,-0.00075,3.45
7,30790,1,0,2.28,0.0,0.0,0.0,0.0,5.0287,270.0,0.27000,12.0813,62.5,0.06250,12.0825,1172.5,0.03553,5.0812,690.0,0.06900,12.0837,240.0,0.02400,12.0813,307.5,0.03075,12.0837,52.5,0.00525,12.0837,-5.0,-0.00050,12.0850,-7.5,-0.00075,12.0813,-7.5,-0.00075,12.0825,-5.0,-0.00050,12.0825,-5.0,-0.00050,12.0825,-5.0,-0.00050,12.0837,-7.5,-0.00075,3.79
