run,t_ms,n,flags,pwm_pct,fan1_rpm,fan2_rpm,fan3_rpm,fan4_rpm,in_V,in_uV,in_A,fan12_V,fan12_uV,fan12_A,b5in_V,b5in_uV,b5in_A,b5out_V,b5out_uV,b5out_A,fan1_V,fan1_uV,fan1_A,fan2_V,fan2_uV,fan2_A,fan3_V,fan3_uV,fan3_A,fan4_V,fan4_uV,fan4_A,fan5_V,fan5_uV,fan5_A,fan6_V,fan6_uV,fan6_A,fan7_V,fan7_uV,fan7_A,fan8_V,fan8_uV,fan8_A,fan9_V,fan9_uV,fan9_A,fan10_V,fan10_uV,fan10_A,pc_time_s
6,373728,1,0,0.00,0.0,0.0,0.0,0.0,20.1800,65.0,0.06500,12.0500,60.0,0.06000,12.0512,1190.0,0.03606,5.0812,695.0,0.06950,12.0525,227.5,0.02275,12.0500,292.5,0.02925,12.0525,52.5,0.00525,12.0525,-5.0,-0.00050,12.0538,-7.5,-0.00075,12.0500,-7.5,-0.00075,12.0512,-5.0,-0.00050,12.0512,-5.0,-0.00050,12.0512,-5.0,-0.00050,12.0525,-7.5,-0.00075,0.60
6,374076,1,0,0.01,0.0,0.0,0.0,0.0,20.1812,65.0,0.06500,12.0500,60.0,0.06000,12.0512,1185.0,0.03591,5.0812,695.0,0.06950,12.0525,227.5,0.02275,12.0500,292.5,0.02925,12.0525,52.5,0.00525,12.0525,-5.0,-0.00050,12.0538,-7.5,-0.00075,12.0500,-7.5,-0.00075,12.0512,-5.0,-0.00050,12.0512,-5.0,-0.00050,12.0512,-5.0,-0.00050,12.0525,-7.5,-0.00075,0.94
6,374412,1,0,0.29,0.0,0.0,0.0,0.0,20.1800,65.0,0.06500,12.0500,60.0,0.06000,12.0512,1187.5,0.03598,5.0812,695.0,0.06950,12.0525,225.0,0.02250,12.0500,290.0,0.02900,12.0525,52.5,0.00525,12.0525,-5.0,-0.00050,12.0538,-7.5,-0.00075,12.0500,-7.5,-0.00075,12.0512,-5.0,-0.00050,12.0512,-5.0,-0.00050,12.0512,-5.0,-0.00050,12.0525,-7.5,-0.00075,1.28
6,374748,1,0,0.57,0.0,0.0,0.0,0.0,20.1812,65.0,0.06500,12.0500,57.5,0.05750,12.0512,1187.5,0.03598,5.0812,695.0,0.06950,12.0525,225.0,0.02250,12.0500,290.0,0.02900,12.0525,52.5,0.00525,12.0525,-5.0,-0.00050,12.0538,-7.5,-0.00075,12.0500,-7.5,-0.00075,12.0512,-5.0,-0.00050,12.0512,-5.0,-0.00050,12.0512,-5.0,-0.00050,12.0525,-7.5,-0.00075,1.63
6,375104,1,0,0.87,0.0,0.0,0.0,0.0,20.1825,65.0,0.06500,12.0500,60.0,0.06000,12.0512,1190.0,0.03606,5.0812,695.0,0.06950,12.0525,225.0,0.02250,12.0500,290.0,0.02900,12.0525,52.5,0.00525,12.0525,-5.0,-0.00050,12.0538,-7.5,-0.00075,12.0500,-7.5,-0.00075,12.0512,-5.0,-0.00050,12.0512,-5.0,-0.00050,12.0512,-5.0,-0.00050,12.0525,-7.5,-0.00075,1.97
6,375441,1,0,1.15,0.0,0.0,0.0,0.0,20.1825,65.0,0.06500,12.0500,60.0,0.06000,12.0512,1187.5,0.03598,5.0812,695.0,0.06950,12.0525,225.0,0.02250,12.0500,290.0,0.02900,12.0525,52.5,0.00525,12.0525,-5.0,-0.00050,12.0538,-7.5,-0.00075,12.0500,-7.5,-0.00075,12.0512,-5.0,-0.00050,12.0512,-5.0,-0.00050,12.0512,-5.0,-0.00050,12.0525,-7.5,-0.00075,2.31
6,375777,1,0,1.43,0.0,0.0,0.0,0.0,20.1812,65.0,0.06500,12.0500,57.5,0.05750,12.0512,1187.5,0.03598,5.0812,695.0,0.06950,12.0525,225.0,0.02250,12.0500,290.0,0.02900,12.0525,52.5,0.00525,12.0525,-5.0,-0.00050,12.0538,-7.5,-0.00075,12.0500,-7.5,-0.00075,12.0512,-5.0,-0.00050,12.0512,-5.0,-0.00050,12.0512,-5.0,-0.00050,12.0525,-7.5,-0.00075,2.64
6,376112,1,0,1.71,0.0,0.0,0.0,0.0,20.1825,65.0,0.06500,12.0500,60.0,0.06000,12.0512,1190.0,0.03606,5.0812,695.0,0.06950,12.0525,227.5,0.02275,12.0500,290.0,0.02900,12.0525,52.5,0.00525,12.0525,-5.0,-0.00050,12.0538,-7.5,-0.00075,12.0500,-7.5,-0.00075,12.0512,-5.0,-0.00050,12.0512,-5.0,-0.00050,12.0512,-5.0,-0.00050,12.0525,-7.5,-0.00075,2.98
6,376447,1,0,1.99,0.0,0.0,0.0,0.0,20.1838,65.0,0.06500,12.0512,60.0,0.06000,12.0512,1187.5,0.03598,5.0812,695.0,0.06950,12.0525,225.0,0.02250,12.0500,290.0,0.02900,12.0525,52.5,0.00525,12.0525,-5.0,-0.00050,12.0538,-7.5,-0.00075,12.0500,-7.5,-0.00075,12.0512,-5.0,-0.00050,12.0512,-5.0,-0.00050,12.0525,-5.0,-0.00050,12.0525,-7.5,-0.00075,3.31
6,376783,1,0,2.27,0.0,0.0,0.0,0.0,20.1850,65.0,0.06500,12.0512,60.0,0.06000,12.0512,1187.5,0.03598,5.0812,695.0,0.06950,12.0525,225.0,0.02250,12.0500,290.0,0.02900,12.0538,52.5,0.00525,12.0525,-5.0,-0.00050,12.0538,-7.5,-0.00075,12.0500,-7.5,-0.00075,12.0512,-5.0,-0.00050,12.0512,-5.0,-0.00050,12.0525,-5.0,-0.00050,12.0525,-7.5,-0.00075,3.66
6,377140,1,0,2.56,0.0,0.0,0.0,0.0,20.1850,65.0,0.06500,12.0500,57.5,0.05750,12.0512,1187.5,0.03598,5.0812,695.0,0.06950,12.0525,225.0,0.02250,12.0500,290.0,0.02900,12.0525,52.5,0.00525,12.0525,-5.0,-0.00050,12.0538,-7.5,-0.00075,12.0500,-7.5,-0.00075,12.0512,-5.0,-0.00050,12.0512,-5.0,-0.00050,12.0512,-5.0,-0.00050,12.0525,-7.5,-0.00075,4.00
6,377476,1,0,2.84,0.0,0.0,0.0,0.0,20.1850,65.0,0.06500,12.0500,57.5,0.05750,12.0512,1187.5,0.03598,5.0812,695.0,0.06950,12.0525,227.5,0.02275,12.0500,290.0,0.02900,12.0525,52.5,0.00525,12.0525,-5.0,-0.00050,12.0538,-7.5,-0.00075,12.0500,-7.5,-0.00075,12.0512,-5.0,-0.00050,12.0512,-5.0,-0.00050,12.0512,-5.0,-0.00050,12.0525,-7.5,-0.00075,4.34
