Manufacturer,Series,Part_Number,Inductance_uH,DCR_typ_mOhm,DCR_max_mOhm,Isat_10pct_A,Isat_20pct_A,Isat_30pct_A,Itemp_40K,Length_max_mm,Width_max_mm,Height_max_mm,Size_Code,Volume
Wurth Elektronik,HCF,74437529203680,68,,11.33,7.2,,10.6,,25,28,20.5,2920 round wire,14350.000
Wurth Elektronik,HCF,74437529203101,100,,25.19,7,,9.4,,25,28,20.5,2920 round wire,14350.000
Wurth Elektronik,HCF,74437529203151,150,,33.66,5.8,,7.2,,25,28,20.5,2920 round wire,14350.000
Wurth Elektronik,HCF,74437529203221,220,,40.1,4.1,,5.3,,25,28,20.5,2920 round wire,14350.000
Wurth Elektronik,HCF,74437529203331,330,,77.5,4,,4.3,,25,28,20.5,2920 round wire,14350.000
Wurth Elektronik,HCF,74437529203471,470,,91.8,3.2,,3.7,,25,28,20.5,2920 round wire,14350.000
TDK,ERU,B82559A2102A024,1,0.45,0.495,,78.5,,54.4,22.8,24.7,12.85,2513,7236.606
TDK,ERU,B82559A3152A024,1.5,0.65,0.715,,79.3,,47.1,22.8,24.7,12.85,2513,7236.606
TDK,ERU,B82559A4222A024,2.2,0.85,0.935,,67.9,,44.9,22.8,24.7,15.75,2516,8869.770
TDK,ERU,B82559A5332A024,3.3,1,1.1,,58.7,,40.3,22.8,24.7,15.75,2516,8869.770
TDK,ERU,B82559A6472A024,4.7,1.25,1.375,,46.4,,37.3,22.8,24.7,18.65,2519,10502.934
TDK,ERU,B82559A7682A024,6.8,1.45,1.595,,37.9,,35,22.8,24.7,18.65,2519,10502.934
TDK,ERU,B82559A9103A024,10,1.85,2.035,,31.1,,32.1,22.8,24.7,21.7,2522,12220.572
TDK,ERU,B82559A0153A024,15,2.8,3.08,,24.6,,25.5,22.8,24.7,18.3,2518,10305.828
TDK,ERU,B82559A0203A024,20,3.4,3.74,,21.5,,24,22.8,24.7,21.3,2521,11995.308
TDK,ERU,B82559A0303A024,30,3.6,3.96,,15.7,,22.9,22.8,24.7,21.3,2521,11995.308
Coilcraft,AGP2923,AGP2923-332KL,3.3,2.3,2.6,95,104,108,26,27.43,16.97,23.75,2723,11055.319
Coilcraft,AGP2923,AGP2923-472KL,4.7,2.3,2.6,63,69,72,26,27.43,16.97,23.75,2723,11055.319
Coilcraft,AGP2923,AGP2923-682KL,6.8,2.3,2.6,48,53,56,26,27.43,16.97,23.75,2723,11055.319
Coilcraft,AGP2923,AGP2923-103KL,10,2.3,2.6,30,34,37,26,27.43,16.97,23.75,2723,11055.319
Coilcraft,AGP2923,AGP2923-153KL,15,2.3,2.6,20.5,23,24.5,26,27.43,16.97,23.75,2723,11055.319
Coilcraft,AGP2923,AGP2923-223KL,22,2.3,2.6,12.2,14.7,16.4,26,27.43,16.97,23.75,2723,11055.319
Coilcraft,AGP2923,AGP2923-333KL,33,2.3,2.6,7.5,9.2,10.3,26,27.43,16.97,23.75,2723,11055.319
