Part_Number,Manufacturer,Series,Size_Code,Inductance_uH,Op_Point,Vin_V,Iin_A,Pin_W,Vout_V,Mode,Freq_kHz,Duty_pct,I_avg_A,dI_pp_A,I_peak_A,Isat_A,P_ac_mW,P_dc_mW,P_total_mW,dT_K,Source,Date,Notes
7443640330B,Wurth Elektronik,HCF,2818B,3.3,5V_3A_input,5.0,3.0,15.0,12.0,boost,100.0,58.3,3.0,8.838,7.419,61.35,,,,,,,
7443640470B,Wurth Elektronik,HCF,2818B,4.7,5V_3A_input,5.0,3.0,15.0,12.0,boost,100.0,58.3,3.0,6.206,6.103,43.85,,,,,,,
7443640680B,Wurth Elektronik,HCF,2818B,6.8,5V_3A_input,5.0,3.0,15.0,12.0,boost,100.0,58.3,3.0,4.289,5.145,31.9,,,,,,,
7443641000B,Wurth Elektronik,HCF,2818B,10.0,5V_3A_input,5.0,3.0,15.0,12.0,boost,100.0,58.3,3.0,2.917,4.458,22.9,,,,,,,
74437429203330,Wurth Elektronik,HCF,2920 litz wire,33.0,5V_3A_input,5.0,3.0,15.0,12.0,boost,100.0,58.3,3.0,0.884,3.442,7.0,,,,,,,
74437429203470,Wurth Elektronik,HCF,2920 litz wire,47.0,5V_3A_input,5.0,3.0,15.0,12.0,boost,100.0,58.3,3.0,0.621,3.31,7.6,209,174,383,7.25,https://redexpert.we-online.com/we-redexpert/en/#/redexpert-embedded,2026-09-13,
74437429203680,Wurth Elektronik,HCF,2920 litz wire,68.0,5V_3A_input,5.0,3.0,15.0,12.0,boost,100.0,58.3,3.0,0.429,3.214,6.4,,,,,,,
74437429203101,Wurth Elektronik,HCF,2920 litz wire,100.0,5V_3A_input,5.0,3.0,15.0,12.0,boost,100.0,58.3,3.0,0.292,3.146,7.5,,,,,,,
74437429203151,Wurth Elektronik,HCF,2920 litz wire,150.0,5V_3A_input,5.0,3.0,15.0,12.0,boost,100.0,58.3,3.0,0.194,3.097,6.0,,,,,,,
74437529203220,Wurth Elektronik,HCF,2920 round wire,22.0,5V_3A_input,5.0,3.0,15.0,12.0,boost,100.0,58.3,3.0,1.326,3.663,7.5,,,,,,,
74437529203330,Wurth Elektronik,HCF,2920 round wire,33.0,5V_3A_input,5.0,3.0,15.0,12.0,boost,100.0,58.3,3.0,0.884,3.442,6.0,,,,,,,
74437529203470,Wurth Elektronik,HCF,2920 round wire,47.0,5V_3A_input,5.0,3.0,15.0,12.0,boost,100.0,58.3,3.0,0.621,3.31,6.5,,,,,,,
74437529203680,Wurth Elektronik,HCF,2920 round wire,68.0,5V_3A_input,5.0,3.0,15.0,12.0,boost,100.0,58.3,3.0,0.429,3.214,7.2,,,,,,,
74437529203101,Wurth Elektronik,HCF,2920 round wire,100.0,5V_3A_input,5.0,3.0,15.0,12.0,boost,100.0,58.3,3.0,0.292,3.146,7.0,,,,,,,
74437529203151,Wurth Elektronik,HCF,2920 round wire,150.0,5V_3A_input,5.0,3.0,15.0,12.0,boost,100.0,58.3,3.0,0.194,3.097,5.8,,,,,,,
74437529203221,Wurth Elektronik,HCF,2920 round wire,220.0,5V_3A_input,5.0,3.0,15.0,12.0,boost,100.0,58.3,3.0,0.133,3.066,4.1,,,,,,,
74437529203331,Wurth Elektronik,HCF,2920 round wire,330.0,5V_3A_input,5.0,3.0,15.0,12.0,boost,100.0,58.3,3.0,0.088,3.044,4.0,,,,,,,
74437529203471,Wurth Elektronik,HCF,2920 round wire,470.0,5V_3A_input,5.0,3.0,15.0,12.0,boost,100.0,58.3,3.0,0.062,3.031,3.2,,,,,,,
7443632200,Wurth Elektronik,HCF,2013,22.0,5V_3A_input,5.0,3.0,15.0,12.0,boost,150.0,58.3,3.0,0.883,3.442,13.0,1670,95.8,2770,43.6,https://redexpert.we-online.com/we-redexpert/en/#/redexpert-embedded,2026-09-13,
7443633300,Wurth Elektronik,HCF,2013,33.0,5V_3A_input,5.0,3.0,15.0,12.0,boost,150.0,58.3,3.0,0.589,3.294,9.5,2550,103,2650,65.7,https://redexpert.we-online.com/we-redexpert/en/#/redexpert-embedded,2026-09-13,
7443634700,Wurth Elektronik,HCF,2013,47.0,5V_3A_input,5.0,3.0,15.0,12.0,boost,150.0,58.3,3.0,0.413,3.206,7.5,1150,110,1260,31.3,https://redexpert.we-online.com/we-redexpert/en/#/redexpert-embedded,2026-09-13,
7443632200,Wurth Elektronik,HCF,2013,22.0,5V_3A_input,5.0,3.0,15.0,12.0,boost,200.0,58.3,3.0,0.662,3.331,13.0,2030,95.8,2130,52.5,https://redexpert.we-online.com/we-redexpert/en/#/redexpert-embedded,2026-09-13,
7443633300,Wurth Elektronik,HCF,2013,33.0,5V_3A_input,5.0,3.0,15.0,12.0,boost,200.0,58.3,3.0,0.442,3.221,9.5,3100,103,3200,79.4,https://redexpert.we-online.com/we-redexpert/en/#/redexpert-embedded,2026-09-13,
7443634700,Wurth Elektronik,HCF,2013,47.0,5V_3A_input,5.0,3.0,15.0,12.0,boost,200.0,58.3,3.0,0.31,3.155,7.5,1560,110,1670,41.7,https://redexpert.we-online.com/we-redexpert/en/#/redexpert-embedded,2026-09-13,
7443632200,Wurth Elektronik,HCF,2013,22.0,5V_3A_input,5.0,3.0,15.0,12.0,boost,300.0,58.3,3.0,0.442,3.221,13.0,2680,95.8,2770,68.5,https://redexpert.we-online.com/we-redexpert/en/#/redexpert-embedded,2026-09-13,
7443633300,Wurth Elektronik,HCF,2013,33.0,5V_3A_input,5.0,3.0,15.0,12.0,boost,300.0,58.3,3.0,0.294,3.147,9.5,4080,103,4180,104,https://redexpert.we-online.com/we-redexpert/en/#/redexpert-embedded,2026-09-13,
7443634700,Wurth Elektronik,HCF,2013,47.0,5V_3A_input,5.0,3.0,15.0,12.0,boost,300.0,58.3,3.0,0.207,3.104,7.5,2410,110,2520,63.1,https://redexpert.we-online.com/we-redexpert/en/#/redexpert-embedded,2026-09-13,
74437429203470,Wurth Elektronik,HCF,2920 litz wire,47.0,5V_3A_input,5.0,3.0,15.0,12.0,boost,100.0,58.3,3.0,0.621,3.31,7.6,209,174,383,7.25,https://redexpert.we-online.com/we-redexpert/en/#/redexpert-embedded,2026-09-13,
